"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT04388761","Feasibility and Safety of Allogeneic Adipose Mesenchymal Stem Cells (aMSCs) Delivery Into Kidney Allografts Procured From Deceased Donors With High Kidney Donor Profile Index (KDPI)",,"Recruiting","No Results Available","Ischemia Reperfusion Injury","Drug: Allogeneic adipose derived mesenchymal stem cells","Serious Adverse Events (SAEs)","Tambi Jarmi|Mayo Clinic","All","18 Years and older   (Adult, Older Adult)","Phase 1","15","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","20-000264","September 28, 2020","February 1, 2024","February 1, 2024","May 14, 2020",,"October 14, 2021","Mayo Clinic in Florida, Jacksonville, Florida, United States",,"https://ClinicalTrials.gov/show/NCT04388761"
2,"NCT00734396","Mesenchymal Stem Cells and Subclinical Rejection","Measure","Completed","No Results Available","Organ Transplantation","Procedure: Mesenchymal stem cell infusion","Primary 1 Safety: rate of (serious) adverse events in the study population 2 Feasibility: determination of the number of expanded MSCs in relation to the amount of BM collected, number of passages required and time to reach study target doses|Secondary endpoints: 1 Presence of late acute rejection (in the 6 month biopsy compared with the 4 week biopsy). 2 Sirius red staining for renal cortical matrix accumulation. 3 Immunologic response before and after MSC infusion.","Leiden University Medical Center","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 1|Phase 2","15","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","P08.119|NL21298.000.08","February 2009","March 2012","December 2012","August 14, 2008",,"January 7, 2013","Leiden Universitary Medical Center, Leiden, Netherlands",,"https://ClinicalTrials.gov/show/NCT00734396"
3,"NCT00658073","Induction Therapy With Autologous Mesenchymal Stem Cells for Kidney Allografts",,"Completed","No Results Available","Renal Transplant Rejection","Procedure: Kidney transplantation with MSCs infusion|Procedure: kidney transplantation without MSC infusion","Incidence rate of biopsy-proven acute rejection and early renal function recovery|Patient and graft survival and prevalence of adverse events","Fuzhou General Hospital","All","18 Years to 60 Years   (Adult)","Not Applicable","165","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MSC-K-2","March 2008","September 2010","October 2010","April 14, 2008",,"March 8, 2011","Stem cell therapy center,Fuzhou General Hospital, Fuzhou, Fujian, China",,"https://ClinicalTrials.gov/show/NCT00658073"
4,"NCT02709343","Trial of Bone-marrow Derived Mesenchymal Stromal Cells (MSC) for New Onset Chronic Lung Allograft Dysfunction","ASSIST-CLAD","Active, not recruiting","No Results Available","Chronic Lung Allograft Dysfunction (CLAD)","Drug: Bone-marrow derived MSCs|Drug: Placebo","Progression-free survival|Time to fall in FEV1 > 10%|Freedom from Bronchiolitis Obliterans Syndrome (BOS) grade 3|All cause mortality|CLAD-specific mortality|Freedom from acute rejection|Freedom from the development of new donor specific anti-HLA antibodies|Freedom from CLAD progression|Rate of FEV1 decline|Rate of FVC decline|Change in 6-minute walk distance (6MWD)|Change in St George's Respiratory Questionnaire (SGRQ) Score|Inpatient bed-days","The University of Queensland|Isopogen|Cell and Tissue Therapies","All","18 Years and older   (Adult, Older Adult)","Phase 2","82","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","ASSIST-CLAD","April 21, 2017","July 2023","July 2023","March 16, 2016",,"August 24, 2022","St Vincents Hospital, Sydney, New South Wales, Australia|The Prince Charles Hospital, Brisbane, Queensland, Australia|Royal Adelaide Hospital, Adelaide, South Australia, Australia|The Alfred Hospital, Melbourne, Victoria, Australia|Fiona Stanley Hospital, Murdoch, Western Australia, Australia",,"https://ClinicalTrials.gov/show/NCT02709343"
5,"NCT04739930","Autologous Bone Marrow Concentrate in Knee Osteochondral Allograft Transplantation",,"Recruiting","No Results Available","Cartilage Injury","Procedure: Autologous bone marrow aspirate will be harvested and concentrated to a bone marrow aspirate concentrate (BMAC) containing bone marrow derived mesenchymal stem cells and delivered to site of operation|Procedure: Control group incision","Synovial Fluid Cytokine Measurement","Rush University Medical Center|Joint Restoration Foundation (JRF)","All","18 Years to 50 Years   (Adult)","Not Applicable","40","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","17121805","March 2, 2018","December 31, 2023","March 31, 2024","February 5, 2021",,"February 9, 2022","Rush University Medical Center, Chicago, Illinois, United States","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/30/NCT04739930/Prot_001.pdf|""Informed Consent Form: HIPAA Form"", https://ClinicalTrials.gov/ProvidedDocs/30/NCT04739930/ICF_000.pdf|""Informed Consent Form: Main Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/30/NCT04739930/ICF_002.pdf","https://ClinicalTrials.gov/show/NCT04739930"
6,"NCT03406585","Wharton´s Jelly Derived Mesenchymal Stromal Cell Treatment of Adult Patients Diagnosed With Type I Diabetes",,"Completed","No Results Available","Type1 Diabetes Mellitus","Drug: ProTrans: Allogeneic transplantation with WJMSCs|Drug: Placebos","Safety; measured through set safety parameters|Efficacy; comparison of the intervention versus placebo at day 372 versus start of treatment|Number of patients insulin independent (ADA criteria) at days 187 and 372|Number of patients with daily insulin needs <0.25U/kg at days 187 and 372|Insulin requirement/kg BW at days 187 and 372|HbA1c at days 187 and 372.|Glucose variability at day 372|Delta change of levels of fasting C-peptide at day 372|Numbers of patients with peak C-peptide >0.20 nmol/l, in response to the MMTT, at day 372","NextCell Pharma Ab","All","18 Years to 40 Years   (Adult)","Phase 1|Phase 2","24","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","ProTrans-T1D|2017-002766-50","November 28, 2017","July 1, 2020","September 4, 2020","January 23, 2018",,"January 11, 2022","Karolinska Trial Alliance, Fas 1 enheten, Karolinska Universitetssjukhuset Huddinge, Stockholm, Sweden",,"https://ClinicalTrials.gov/show/NCT03406585"
7,"NCT01603836","Study Confirms or Refutes the Hypothesis That the Autologous Bone Marrow Concentrate Together With the Allograft is a Better Alternative for the Posterolateral Fusion in Spine Surgery Than the Allograft Alone",,"Completed","No Results Available","Spondyloarthrosis, Spondylosis","Biological: bone allogaft with bone marrow concentrate","The improvement of the fusion of the posterolateral fusion measured on X-rays|The improvement of the fusion of the posterolateral fusion measured on X-rays and CT scans.","Hospital Znojmo","All","45 Years to 89 Years   (Adult, Older Adult)","Not Applicable","80","Other","Interventional","Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","PLFBMC","February 2009","March 2010","March 2012","May 23, 2012",,"May 23, 2012",,,"https://ClinicalTrials.gov/show/NCT01603836"
8,"NCT05215288","Intermediate Size Expanded Access for the Use of ExoFlo in the Treatment of Abdominal Solid Organ Transplant Patients Who Are at Risk of Worsening Allograft Function With Conventional Immunosuppressive Therapy Alone",,"Not yet recruiting","No Results Available","Solid Organ Transplant Rejection|Organ Rejection Transplants|Organ Rejection","Biological: Bone Marrow Mesenchymal Stem Cell Derived Extracellular Vesicles Infusion Treatment","Number of participants with adverse/serious adverse events","Direct Biologics, LLC","All","18 Years to 75 Years   (Adult, Older Adult)","Early Phase 1","20","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","DB-EF-TRANSPLANT-0002","October 2022","October 2022","December 2022","January 31, 2022",,"September 10, 2022",,,"https://ClinicalTrials.gov/show/NCT05215288"
9,"NCT04650568","Biologic Augmentation With Mesenchymal Stem Cells in Patients Undergoing Anterior Cruciate Ligament Reconstruction","BMAC","Enrolling by invitation","No Results Available","Anterior Cruciate Ligament Injury|Anterior Cruciate Ligament Rupture","Device: Autologous Bone Marrow Derived Mesenchymal Stem Cells|Other: Sham incision","Signal to Noise Quotient|Side to side difference in anterior tibial translation|Patient reported outcomes- Tegner Score|Patient reported outcomes- Knee Injury and Osteoarthritis Outcome Score for Joint Replacement (KOOS Jr)|Patient reported outcomes- International Knee Documentation Committee (IKDC) Score","Rush University Medical Center","All","18 Years to 60 Years   (Adult)","Not Applicable","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment","17082504","November 3, 2017","December 3, 2022","December 31, 2022","December 2, 2020",,"January 5, 2022","Rush University Medical Center, Chicago, Illinois, United States",,"https://ClinicalTrials.gov/show/NCT04650568"
10,"NCT02235844","Allogeneic Human Umbilical Cord Mesenchymal Stem Cells for a Single Male Patient With Duchenne Muscular Dystrophy (DMD)",,"Completed","No Results Available","Duchenne's Muscular Dystrophy","Biological: Umbilical Cord Mesenchymal Stem Cells","Adverse Events|Change from baseline of weight|Change of muscle diameter (circumferential measurements) from baseline|Change from baseline of Pulmonary Maximum Expiratory Pressure|Change from baseline of Pulmonary Forced Vital Capacity|Maximum Change from baseline of Predicted Inspiratory Pressure %|Change from baseline of Predicted Maximum Expiratory Pressure %|Change from baseline of Predicted Forced Vital Capacity %","Allergy and Asthma Consultants, Wichita, Kansas|Aidan Foundation|Neil H. Riordan PhD","Male","28 Years to 31 Years   (Adult)","Phase 1","1","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IND 16026 DMD Single Patient","September 2014","September 30, 2017","September 30, 2017","September 10, 2014",,"September 16, 2019","Asthma and Allergy Consultants, Wichita, Kansas, United States",,"https://ClinicalTrials.gov/show/NCT02235844"
