"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT05147675","Safety of Cultured Allogeneic Adult Umbilical Cord Derived Mesenchymal Stem Cells for OA",,"Recruiting","No Results Available","Osteoarthritis|Spinal Arthritis","Biological: AlloRx","Safety (adverse events)|Efficacy: Single Assessment Numeric Evaluation Score (SANE)","The Foundation for Orthopaedics and Regenerative Medicine","All","Child, Adult, Older Adult","Phase 1","20","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ATG-1-MSC-011","December 2021","December 2025","December 2025","December 7, 2021",,"December 7, 2021","Medical Surgical Associates Center, St. John's, Antigua and Barbuda",,"https://ClinicalTrials.gov/show/NCT05147675"
2,"NCT05152290","Safety of Cultured Allogeneic Adult Umbilical Cord Derived Mesenchymal Stem Cells for SCI",,"Recruiting","No Results Available","Spinal Cord Injuries","Biological: AlloRx","Safety (adverse events)|Efficacy: American Spinal Injury Association Impairment Scale (ASIA)","The Foundation for Orthopaedics and Regenerative Medicine","All","Child, Adult, Older Adult","Phase 1","20","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ATG-1-MSC-012","January 2022","January 2026","January 2026","December 9, 2021",,"January 5, 2022","Medical Surgical Associates Center, St. John's, Antigua and Barbuda",,"https://ClinicalTrials.gov/show/NCT05152290"
3,"NCT05158127","Safety of Cultured Allogeneic Adult Umbilical Cord Derived Mesenchymal Stem Cells for Skin Ulcer",,"Recruiting","No Results Available","Skin Ulcer","Biological: AlloRx","Safety (adverse events)","The Foundation for Orthopaedics and Regenerative Medicine","All","Child, Adult, Older Adult","Phase 1","20","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ATG-2-MSC-015","January 2022","January 2026","January 2026","December 15, 2021",,"January 5, 2022","Medical Surgical Associates Center, St. John's, Antigua and Barbuda",,"https://ClinicalTrials.gov/show/NCT05158127"
4,"NCT05147701","Safety of Cultured Allogeneic Adult Umbilical Cord Derived Mesenchymal Stem Cells for Eye Diseases",,"Recruiting","No Results Available","Eye Diseases|Retinitis Pigmentosa|Glaucoma|Diabetic Retinopathy|Macular Degeneration|Traumatic Optic Neuropathy|Optic Atrophy","Biological: AlloRx","Safety (adverse events)","The Foundation for Orthopaedics and Regenerative Medicine","All","Child, Adult, Older Adult","Phase 1","20","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ATG-1-MSC-014","January 2022","January 2026","January 2026","December 7, 2021",,"January 5, 2022","Medical Surgical Associates Center, St. John's, Antigua and Barbuda",,"https://ClinicalTrials.gov/show/NCT05147701"
5,"NCT05147766","Safety of Cultured Allogeneic Adult Umbilical Cord Derived Mesenchymal Stem Cells for Heart Disease",,"Recruiting","No Results Available","Congestive Heart Failure|Angina","Biological: AlloRx","Safety (adverse events)","The Foundation for Orthopaedics and Regenerative Medicine","All","Child, Adult, Older Adult","Phase 1","20","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ATG-1-MSC-017","February 2022","February 2026","February 2026","December 7, 2021",,"January 5, 2022","Medical Surgical Associates Center, St. John's, Antigua and Barbuda",,"https://ClinicalTrials.gov/show/NCT05147766"
6,"NCT05158933","Safety of Cultured Allogeneic Adult Umbilical Cord Derived Mesenchymal Stem Cells for Ovarian Failure",,"Recruiting","No Results Available","Ovarian Failure","Biological: AlloRx","Safety (adverse events)","The Foundation for Orthopaedics and Regenerative Medicine","All","Child, Adult, Older Adult","Phase 1","20","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ATG-2-MSC-012","January 2022","January 2026","January 2026","December 15, 2021",,"January 5, 2022","Medical Surgical Associates Center, St. John's, Antigua and Barbuda",,"https://ClinicalTrials.gov/show/NCT05158933"
7,"NCT05158101","Safety of Cultured Allogeneic Adult Umbilical Cord Derived Mesenchymal Stem Cell Intravenous Infusion for Stroke",,"Recruiting","No Results Available","Stroke","Biological: AlloRx","Safety (adverse events)","The Foundation for Orthopaedics and Regenerative Medicine","All","Child, Adult, Older Adult","Phase 1","15","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ATG-2-MSC-011","February 2022","February 2026","February 2026","December 15, 2021",,"January 5, 2022","Medical Surgical Associates Center, St. John's, Antigua and Barbuda",,"https://ClinicalTrials.gov/show/NCT05158101"
8,"NCT05152394","Safety of Cultured Allogeneic Adult Umbilical Cord Derived Mesenchymal Stem Cells for Parkinson's Disease",,"Not yet recruiting","No Results Available","Parkinson Disease","Biological: AlloRx","Safety (adverse events)","The Foundation for Orthopaedics and Regenerative Medicine","All","Child, Adult, Older Adult","Phase 1","20","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ATG-1-MSC-016","January 2022","January 2026","January 2026","December 9, 2021",,"January 28, 2022","Medical Surgical Associates Center, St. John's, Antigua and Barbuda",,"https://ClinicalTrials.gov/show/NCT05152394"
9,"NCT05018858","Safety of Cultured Allogeneic Adult Umbilical Cord Derived Mesenchymal Stem Cell Intravenous Infusion for Lupus",,"Recruiting","No Results Available","Lupus","Biological: AlloRx","Safety (adverse events)","The Foundation for Orthopaedics and Regenerative Medicine","All","Child, Adult, Older Adult","Phase 1","15","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","SC-20-ATG-4","February 2022","October 2025","October 2025","August 24, 2021",,"January 5, 2022","Medical Surgical Associates Center, St. John's, Antigua and Barbuda",,"https://ClinicalTrials.gov/show/NCT05018858"
10,"NCT05152381","Safety of Cultured Allogeneic Adult Umbilical Cord Derived Mesenchymal Stem Cell Intravenous Infusion for Osteoporosis",,"Recruiting","No Results Available","Osteoporosis","Biological: AlloRx","Safety (adverse events)","The Foundation for Orthopaedics and Regenerative Medicine","All","Child, Adult, Older Adult","Phase 1","20","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ATG-1-MSC-018","January 2022","January 2026","January 2026","December 9, 2021",,"January 5, 2022","Medical Surgical Associates Center, St. John's, Antigua and Barbuda",,"https://ClinicalTrials.gov/show/NCT05152381"
