"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT02387151","Allogeneic Mesenchymal Stromal Cell Therapy in Renal Transplant Recipients","Neptune","Completed","No Results Available","Rejection|Graft Loss","Drug: mesenchymal stromal cells","biopsy proven acute rejection / graft loss|Comparison of fibrosis by quantitative Sirius Red scoring|Serious adverse events|Renal function measured by cGFR (MDRD formula) and iohexol clearance|CMV, BK infection (viremia, disease and syndrome; and subtypes of BK viremia) and other opportunistic infections|Development of de novo donor specific antibodies (DSA) and immunological responses","Leiden University Medical Center","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 1","10","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","NL4724400013|2013-005407-14","March 2015","November 2018","November 2018","March 12, 2015",,"July 2, 2019","Leiden University Medical Center, Leiden, Netherlands",,"https://ClinicalTrials.gov/show/NCT02387151"
2,"NCT04447833","Mesenchymal Stromal Cell Therapy For The Treatment Of Acute Respiratory Distress Syndrome","ARDS-MSC-205","Active, not recruiting","No Results Available","ARDS, Human|COVID","Drug: Mesenchymal Stromal Stem Cells - KI-MSC-PL-205","The incidence of pre-specified treatment related adverse events of interest (TRAEIs).|Safety; All-cause mortality|Changes in Leucocytes|Changes in Trombocytes|Changes in plasma concentration of C-reactive protein (CRP)|Changes in plasma concentration of Prothrombin complex (PK)|Changes in plasma concentration of Creatinine|Changes in plasma concentration of Aspartate amino transferase (ASAT)|Changes in plasma concentration of Alanine amino transferase (ALAT)|Changes in plasma concentration of N-terminal pro-brain natriuretic peptide (NT-proBNP)|Changes in Blood pressure|Changes in Body temperature|Efficacy; Changes in pulmonary compliance|Efficacy; Changes in driving pressure (Plateau pressure- PEEP)|Efficacy; Changes in oxygenation (PaO2/FiO2)|Efficacy; Duration of ventilator support|Efficacy; Pulmonary bilateral infiltrates|Efficacy; Sequential Organ Failure Assessment (SOFA) score|Efficacy; Hospital stay|Lung function|Lung fibrosis|Six minutes walk test|Changes in Quality of life|Blood biomarkers|Sensitisation test","Uppsala University|Uppsala University Hospital","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 1","7","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2020-02238","June 17, 2020","January 30, 2021","June 30, 2025","June 25, 2020",,"March 4, 2021","Uppsala University Hospital, Uppsala, Sweden",,"https://ClinicalTrials.gov/show/NCT04447833"
3,"NCT03268603","Intrathecal Autologous Adipose-derived Mesenchymal Stromal Cells for Amyotrophic Lateral Sclerosis (ALS)",,"Recruiting","No Results Available","ALS|Amyotrophic Lateral Sclerosis","Drug: Autologous Adipose-derived Mesenchymal Stromal Cells","Number of Adverse Events|Change in slope of ALS Functional Rating Scale - Revised (ALSFRS-R)","Mayo Clinic|State of Minnesota Regenerative Medicine Minnesota","All","18 Years and older   (Adult, Older Adult)","Phase 2","60","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","15-008008|UL1TR000135","October 10, 2017","December 2022","December 2022","August 31, 2017",,"February 16, 2022","Mayo Clinic, Scottsdale, Arizona, United States|Mayo Clinic, Jacksonville, Florida, United States|Mayo Clinic in Rochester, Rochester, Minnesota, United States",,"https://ClinicalTrials.gov/show/NCT03268603"
4,"NCT01090817","An Australian Study of Mesenchymal Stromal Cells for Crohn's Disease",,"Completed","No Results Available","Crohn Disease","Drug: Mesenchymal stromal cells (MSC) for infusion","Clinical response to MSC: Reduction of Crohn's disease Activity score by 100 points or more at six weeks post start of therapy|Incidence of infusional toxicity|Induction of remission|Improved quality of life|Endoscopic improvement.","R.P.Herrmann|The Queen Elizabeth Hospital|Concord Hospital|Sir Charles Gairdner Hospital|The Alfred|Royal Perth Hospital","All","18 Years to 55 Years   (Adult)","Phase 2","21","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","EC2009/123|CTN2010/0098","January 2010","June 2014","June 2015","March 23, 2010",,"June 9, 2015","Department of Gastroenterology and Hepatology, Royal Perth Hospital, Perth, Western Australia, Australia",,"https://ClinicalTrials.gov/show/NCT01090817"
5,"NCT02012153","Mesenchymal Stromal Cells in Kidney Transplant Recipients",,"Recruiting","No Results Available","Kidney Transplant Rejection","Biological: Mesenchymal Stromal Cells","Circulating naïve and memory T cell count (CD45RA/CD45RO) (flow cytometry analysis).|T-cell function by ELISPOT assay in mixed lymphocyte reaction.|Number of adverse events.|Circulating regulatory T cell count.|Urinary FOXP3 mRNA expression evaluated by real time quantitative PCR.","Mario Negri Institute for Pharmacological Research|A.O. Ospedale Papa Giovanni XXIII","All","18 Years and older   (Adult, Older Adult)","Phase 1","6","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MSC-Tx tolerance|2013-003221-29","December 2013","December 2022","March 2023","December 16, 2013",,"November 26, 2021","U.O. Nefrologia e Dialisi, Bergamo, Italy",,"https://ClinicalTrials.gov/show/NCT02012153"
6,"NCT02150551","Safety and Tolerability Of Allogeneic Mesenchymal Stromal Cells in Pediatric Inflammatory Bowel Disease",,"Completed","No Results Available","Inflammatory Bowel Diseases","Biological: Allogeneic bone marrow-derived mesenchymal stromal cells","Number of subjects who experience serious adverse events, adverse events, and/or early treatment discontinuations.|Proportion of patients with clinical response|Number of subjects demonstrating an improvement of laboratory tests reflecting systemic inflammation.|Number of subjects with endoscopic healing after treatment.","Catherine Bollard|Children's National Research Institute","All","12 Years to 22 Years   (Child, Adult)","Phase 1","1","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","STOMP","September 2015","September 27, 2019","September 27, 2019","May 30, 2014",,"July 14, 2020","Children's National Medical Center, Washington, District of Columbia, United States",,"https://ClinicalTrials.gov/show/NCT02150551"
7,"NCT05286255","Mesenchymal Stromal Cells for COVID-19 and Viral Pneumonias","SAMPSON-1","Recruiting","No Results Available","COVID-19 Pneumonia|Viral Pneumonia","Biological: Allogeneic Mesenchymal Stromal Cells","Clinical deterioration|Serious Adverse Events|ICU transfer|Respiratory support|Hospital mortality and length of stay|Ventilator free days|28 day mortality","Medical University of South Carolina|Pandorum International, Inc.","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 1","10","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","115966","May 4, 2022","May 4, 2023","May 4, 2023","March 18, 2022",,"May 10, 2022","Medical University of South Carolina, Charleston, South Carolina, United States",,"https://ClinicalTrials.gov/show/NCT05286255"
8,"NCT02814864","Trial Evaluating the Efficacy of Systemic Mesenchymal Stromal Cell (MSC) Injections for the Treatment of Severe and Chronic Radiotherapy-induced Abdomino-pelvic Complications (Pelvic Radiation Disease, PRD) Refractory to Standard Therapy","PRISME","Recruiting","No Results Available","Pelvic Radiation Therapy|Radiation-induced Hemorrhagic Cystitis","Drug: Mesenchymal Stromal Cell (MSC) injections","Decrease of one grade on the LENT SOMA|The effect of treatment on analgesic drug consumption (analgesic, opiates).|The effect of treatment on quality of life with SF36 questionnaire|The effect of treatment on quality of life with HADS questionnaire|The effect of treatment on pain|Frequency of diarrhea","Assistance Publique - Hôpitaux de Paris","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 2","12","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","P130935|2014-001462-99","April 14, 2021","April 2022","April 2022","June 28, 2016",,"August 3, 2021","Hématologie et thérapie cellulaire, Hôpital Saint Antoine, Paris, France",,"https://ClinicalTrials.gov/show/NCT02814864"
9,"NCT03818854","Mesenchymal Stromal Cells For Acute Respiratory Distress Syndrome","STAT","Recruiting","No Results Available","Respiratory Distress Syndrome, Adult","Biological: Human Mesenchymal Stromal Cells|Biological: Cell Reconstitution Media","Change in oxygenation index (OI)|Acute Lung Injury Score (LIS)|Pulmonary Dead Space Fraction|Chest radiograph assessment of pulmonary edema (RALE score)|Ventilator free-days|Duration of assisted ventilation over 28 days|Percentage of patients achieving pressure support ventilation for 2 hours|Occurrence of Infection|Sequential Organ Failure Assessment (SOFA) over 7 days|All-cause hospital mortality|Glasgow Outcome Score (GCS)|Percentage of patients occurred any thromboembolic events|Plasma angiopoietin-2|Plasma Receptor for Advanced Glycation Endproducts (RAGE)|Plasma interleukin-6|Plasma interleukin-8|Plasma Soluble tumor necrosis factor 1 (sTNF-1)|Plasma protein C|Plasma lipoxin A4|Plasma Resolvin D1|Plasma angiopoietin-1|Plasma keratinocyte growth factor (KGF)|Urine microalbumin|Total protein in min-bronchoalveolar lavage (mBAL)|Tolerability of the hMSCs - incidence of pre-specified infusion-associated events and unexpected severe adverse events","Michael A. Matthay|United States Department of Defense|Harborview Injury Prevention and Research Center|Oregon Health and Science University|Vanderbilt University Medical Center|The University of Texas Health Science Center, Houston|University of Minnesota|University of California, San Francisco","All","18 Years and older   (Adult, Older Adult)","Phase 2","120","Other|U.S. Fed","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","UCSF-hMSC-ARDS-P1P2-12","November 26, 2019","July 1, 2023","July 1, 2024","January 28, 2019",,"September 14, 2022","University of California Davis Medical Center, Sacramento, California, United States|Zuckerberg San Francisco General Hospital and Trauma Center, San Francisco, California, United States|University of California San Francisco, San Francisco, California, United States|Oregon Health & Science University, Portland, Oregon, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States|Memorial Hermann Hospital - Texas Medical Center, Houston, Texas, United States|Harborview Medical Center, Seattle, Washington, United States",,"https://ClinicalTrials.gov/show/NCT03818854"
10,"NCT04445454","Mesenchymal Stromal Cell Therapy for Severe Covid-19 Infection",,"Recruiting","No Results Available","Coronavirus Infection","Biological: Mesenchymal stromal cells","To evaluate the safety of intravenous infusion of MSC in patients with severe to critical COVID-19 pneumonia|To evaluate the efficacy of intravenous infusion of MSC in patients with severe to critical COVID-19 pneumonia|To evaluate the effect of MSC administration associated with the standard of care (SOC including anti-viral therapy)","University of Liege","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 1|Phase 2","20","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TJT2012","June 12, 2020","September 30, 2024","September 30, 2024","June 24, 2020",,"September 21, 2022","CHU de Liège, Liège, Belgium",,"https://ClinicalTrials.gov/show/NCT04445454"
