"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT02387151","Allogeneic Mesenchymal Stromal Cell Therapy in Renal Transplant Recipients","Neptune","Completed","No Results Available","Rejection|Graft Loss","Drug: mesenchymal stromal cells","biopsy proven acute rejection / graft loss|Comparison of fibrosis by quantitative Sirius Red scoring|Serious adverse events|Renal function measured by cGFR (MDRD formula) and iohexol clearance|CMV, BK infection (viremia, disease and syndrome; and subtypes of BK viremia) and other opportunistic infections|Development of de novo donor specific antibodies (DSA) and immunological responses","Leiden University Medical Center","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 1","10","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","NL4724400013|2013-005407-14","March 2015","November 2018","November 2018","March 12, 2015",,"July 2, 2019","Leiden University Medical Center, Leiden, Netherlands",,"https://ClinicalTrials.gov/show/NCT02387151"
2,"NCT05160831","Human Umbilical Cord Mesenchymal Stem Cells in the Treatment of Knee Osteoarthritis",,"Not yet recruiting","No Results Available","Knee Osteoarthritis","Biological: Human umbilical cord mesenchymal stem cells","VAS score|Kellgren-Lawrence score","Southwest Hospital, China","All","18 Years to 70 Years   (Adult, Older Adult)","Not Applicable","50","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","SCforKneeOA","January 20, 2022","January 20, 2023","January 20, 2024","December 16, 2021",,"December 16, 2021",,,"https://ClinicalTrials.gov/show/NCT05160831"
3,"NCT04414592","Human Umbilical Cord Mesenchymal Stem Cells For the Treatment of Lumbar Disc Degeneration Disease",,"Recruiting","No Results Available","Lumbar Disc Degeneration|Lumbar Disc Herniation","Other: human umbilical cord mesenchymal stem cells","Lumbar disc signaling values from magnetic resonance imaging|Visual Analogue Scale (VAS) (0-10 scores, the higher scores mean a worse outcome)|Oswestry Disability Index(ODI) (0-50 scores, the higher scores mean a worse outcome)|The Short Form (36) Health survey (SF36) (0-100 scores, the higher scores mean a better outcome)|Disc Height Index (DHI) from X ray|Size of herniated nucleus pulposus from magnetic resonance imaging|Number of participants with treatment-related adverse events by CTCAE v4.0","Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine","All","18 Years to 60 Years   (Adult)","Not Applicable","20","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","QFu","August 2020","March 2022","March 2023","June 4, 2020",,"June 4, 2020","Shanghai General Hospital, Shanghai, Shanghai, China|Shanghai General Hospital, Shanghai, China",,"https://ClinicalTrials.gov/show/NCT04414592"
4,"NCT02291926","Human Umbilical Cord Mesenchymal Stem Cell Transplantation in Articular Cartilage Defect",,"Completed","No Results Available","Cartilage Diseases|Osteoarthritis","Biological: Human umbilical cord mesenchymal stem cells","Severity of adverse events|Magnetic resonance imaging (MRI) of the knee|Western Ontario and McMaster Universities Osteoarthritis Index (WOMAC)","Shenzhen Hornetcorn Bio-technology Company, LTD|The Fifth Affiliated Hospital of Guangzhou Medical University","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 1","20","Industry|Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HYK-Articular Cartilage Defect","December 2014","July 2016","December 2016","November 17, 2014",,"May 10, 2017","The Fifth Affiliated Hospital Immunotherapy center, Guangzhou, Guangdong, China",,"https://ClinicalTrials.gov/show/NCT02291926"
5,"NCT02481440","Repeated Subarachnoid Administrations of hUC-MSCs in Treating SCI",,"Completed","Has Results","Spinal Cord Injuries","Biological: human umbilical cord mesenchymal stem cells (hUC-MSCs)","American Spinal Injury Association (ASIA) Total Score at the Fourth Follow-up|SCI Functional Rating Scale of the International Association of Neurorestoratology (IANR-SCIFRS) Total Score at the Fourth Follow-up|American Spinal Injury Association (ASIA) Total Score|SCI Functional Rating Scale of the International Association of Neurorestoratology (IANR-SCIFRS) Total Score|International Standards to Document Remaining Autonomic Function After Spinal Cord Injury (ISAFSCI) Score|Penn Scale|Modified Ashworth Scale|Geffner Scale|Neurogenic Bowel Dysfunction (NBD) Scale|Residual Urine Volume","Limin Rong|Third Affiliated Hospital, Sun Yat-Sen University","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 1|Phase 2","102","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","hUC-MSC-SCI","March 30, 2018","March 31, 2020","March 31, 2020","June 25, 2015","June 30, 2020","June 30, 2020","The Third Affiliated Hospital of Sun Yat-sen University, Guangzhou, Guangdong, China","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/40/NCT02481440/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT02481440"
6,"NCT04939077","Treatment of Heart Failure Using Human Umbilical Cord Mesenchymal Stem Cells(hUC-MSC)",,"Recruiting","No Results Available","Myocardial Ischemia|Ventricular Dysfunction, Left","Biological: Allogeneic Human Umbilical Cord Mesenchymal Stem Cells","Left ventricular ejection fraction|Left ventricular end diastolic volume|Left ventricular end systolic volume|Stroke volume|Left ventricular apex four-chamber end systolic diameter|6 minutes walking distance|THE WORLD HEALTH ORGANIZATION QUALITY OF LIFE (WHOQOL) -BREF","Shanghai East Hospital","All","up to 70 Years   (Child, Adult, Older Adult)","Phase 1|Phase 2","20","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","MR-31-20-000323","November 27, 2019","July 31, 2022","November 30, 2022","June 25, 2021",,"June 25, 2021","Shanghai East Hospital, Shanghai Tongji University, Shanghai, Shanghai, China",,"https://ClinicalTrials.gov/show/NCT04939077"
7,"NCT01090817","An Australian Study of Mesenchymal Stromal Cells for Crohn's Disease",,"Completed","No Results Available","Crohn Disease","Drug: Mesenchymal stromal cells (MSC) for infusion","Clinical response to MSC: Reduction of Crohn's disease Activity score by 100 points or more at six weeks post start of therapy|Incidence of infusional toxicity|Induction of remission|Improved quality of life|Endoscopic improvement.","R.P.Herrmann|The Queen Elizabeth Hospital|Concord Hospital|Sir Charles Gairdner Hospital|The Alfred|Royal Perth Hospital","All","18 Years to 55 Years   (Adult)","Phase 2","21","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","EC2009/123|CTN2010/0098","January 2010","June 2014","June 2015","March 23, 2010",,"June 9, 2015","Department of Gastroenterology and Hepatology, Royal Perth Hospital, Perth, Western Australia, Australia",,"https://ClinicalTrials.gov/show/NCT01090817"
8,"NCT03268603","Intrathecal Autologous Adipose-derived Mesenchymal Stromal Cells for Amyotrophic Lateral Sclerosis (ALS)",,"Recruiting","No Results Available","ALS|Amyotrophic Lateral Sclerosis","Drug: Autologous Adipose-derived Mesenchymal Stromal Cells","Number of Adverse Events|Change in slope of ALS Functional Rating Scale - Revised (ALSFRS-R)","Mayo Clinic|State of Minnesota Regenerative Medicine Minnesota","All","18 Years and older   (Adult, Older Adult)","Phase 2","60","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","15-008008|UL1TR000135","October 10, 2017","December 2022","December 2022","August 31, 2017",,"February 16, 2022","Mayo Clinic, Scottsdale, Arizona, United States|Mayo Clinic, Jacksonville, Florida, United States|Mayo Clinic in Rochester, Rochester, Minnesota, United States",,"https://ClinicalTrials.gov/show/NCT03268603"
9,"NCT05039411","Safety of Allogeneic Human Umbilical Cord Mesenchymal Stem Cells (UC-MSCs) to Treat Perianal Fistulas Patients With Crohn's Disease",,"Recruiting","No Results Available","Perianal Fistula Due to Crohn's Disease|Fistula in Ano","Biological: Human umbilical cord mesenchymal stem cells (UC-MSCs)","Incidence of any treatment-emergent adverse events (TE-AEs)|Clinical healing","CryoCord Sdn Bhd|University of Malaya","All","18 Years and older   (Adult, Older Adult)","Phase 1","7","Industry|Other","Interventional","Allocation: N/A|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CCSB-CT-PF-01-2021 (Ver_01)","March 1, 2022","December 31, 2024","December 31, 2024","September 9, 2021",,"March 22, 2022","University of Malaya Medical Centre, Kuala Lumpur, Malaysia",,"https://ClinicalTrials.gov/show/NCT05039411"
10,"NCT02012153","Mesenchymal Stromal Cells in Kidney Transplant Recipients",,"Recruiting","No Results Available","Kidney Transplant Rejection","Biological: Mesenchymal Stromal Cells","Circulating naïve and memory T cell count (CD45RA/CD45RO) (flow cytometry analysis).|T-cell function by ELISPOT assay in mixed lymphocyte reaction.|Number of adverse events.|Circulating regulatory T cell count.|Urinary FOXP3 mRNA expression evaluated by real time quantitative PCR.","Mario Negri Institute for Pharmacological Research|A.O. Ospedale Papa Giovanni XXIII","All","18 Years and older   (Adult, Older Adult)","Phase 1","6","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MSC-Tx tolerance|2013-003221-29","December 2013","December 2022","March 2023","December 16, 2013",,"November 26, 2021","U.O. Nefrologia e Dialisi, Bergamo, Italy",,"https://ClinicalTrials.gov/show/NCT02012153"
