"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT02398370","Evaluate the Safety and Feasibility of Injecting PMD-MSC Into the Penis to Treat the Symptoms of Mild to Moderate ED","PMD-MSC-ED-01","Completed","No Results Available","Erectile Dysfunction","Biological: Placental Matrix-Derived Mesenchymal Stem Cells (PMD-MSCs)","Peak Systolic Velocity without trimix (cm/s)|End Diastolic Velocity without trimix (cm/s)","Melissa Marchand|Z Urology","Male","40 Years to 70 Years   (Adult, Older Adult)","Phase 1","8","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","PMD-MSC-ED-01","July 2013","December 2014","March 2015","March 25, 2015",,"April 27, 2015","Z Urology, Coral Springs, Florida, United States",,"https://ClinicalTrials.gov/show/NCT02398370"
2,"NCT02395029","Evaluate the Safety and Feasibility of Injecting PMD-MSC Into the Penis to Treat the Symptoms of PD","PMD-MSC-PD-01","Completed","No Results Available","Peyronie's Disease","Biological: Placental Matrix-Derived Mesenchymal Stem Cells (PMD-MSCs)","Peak Systolic Velocity without trimix (cm/s)|End Diastolic Velocity without trimix (cm/s)","Melissa Marchand|Z Urology","Male","18 Years and older   (Adult, Older Adult)","Phase 1","5","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","PMD-MSC-PD-01","August 2013","December 2014","March 2015","March 20, 2015",,"March 20, 2015","Z Urology, Coral Springs, Florida, United States",,"https://ClinicalTrials.gov/show/NCT02395029"
3,"NCT04464213","Human Placental Mesenchymal Stem Cells Treatment on Diabetic Foot Ulcer",,"Recruiting","No Results Available","Diabetic Foot Ulcer","Other: Single dose experiments|Other: Multi-dose experiments","Rate of adverse event|Rate of serious adverse event|Rate of cure rate","Beijing Tongren Hospital","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 1","43","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","HS201901","November 1, 2020","August 1, 2021","December 31, 2021","July 9, 2020",,"December 11, 2020","National Institute for Drug Clinical Trial, Beijing Tongren Hospital, Capital Medical University, Beijing, Beiijng, China",,"https://ClinicalTrials.gov/show/NCT04464213"
4,"NCT01385644","A Study to Evaluate the Potential Role of Mesenchymal Stem Cells in the Treatment of Idiopathic Pulmonary Fibrosis","MSC in IPF","Completed","Has Results","Idiopathic Pulmonary Fibrosis","Other: Placental MSC","Number of Participants Who Demonstrated Acute Adverse Events Following Infusion|Percentage Change in Lung Function as Assessed by FVC Compared to Baseline|Percentage Change in 6 Minute Walk Distance Compared to Baseline|Percentage Change in Lung Function as Assessed by DLCO Compared to Baseline","The Prince Charles Hospital|Mater Medical Research Institute","All","40 Years to 80 Years   (Adult, Older Adult)","Phase 1","8","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HREC/09/QPCH/105","October 2010","May 2013","May 2013","June 30, 2011","December 29, 2015","December 29, 2015","The Prince Charles Hospital, Brisbane, Queensland, Australia",,"https://ClinicalTrials.gov/show/NCT01385644"
5,"NCT05402748","Safety and Efficacy of Injection of Human Placenta Mesenchymal Stem Cells Derived Exosomes for Treatment of Complex Anal Fistula",,"Recruiting","No Results Available","Fistula Perianal","Other: placenta-MSCs derived exosomes","Safety of injected exosomes|clinical Efficacy of injected exosomes|inflammatory markers","Tehran University of Medical Sciences","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 1|Phase 2","80","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Basic Science","IRCT20211212053361N1","December 22, 2021","July 22, 2022","August 22, 2022","June 2, 2022",,"June 2, 2022","Division of Colorectal Surgery, Department of Surgery, Tehran University of Medical Sciences, Tehran, Iran, Tehran, Iran, Islamic Republic of",,"https://ClinicalTrials.gov/show/NCT05402748"
6,"NCT05499156","Safety of Injection of Placental Mesenchymal Stem Cell Derived Exosomes for Treatment of Resistant Perianal Fistula in Crohn's Patients",,"Active, not recruiting","No Results Available","Perianal Fistula in Patients With Crohn's Disease","Other: placenal MSC derived exosomes","Safety of injected exosomes|clinical Efficacy of injected exosomes|inflammatory markers","Tehran University of Medical Sciences","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 1|Phase 2","80","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment","IRCT20200413047063N3","January 20, 2022","August 2022","September 2022","August 12, 2022",,"August 12, 2022","Division of Colorectal Surgery, Department of Surgery, Tehran University of Medical Sciences, Tehran, Iran, Tehran, Iran, Islamic Republic of",,"https://ClinicalTrials.gov/show/NCT05499156"
7,"NCT04652908","Cellular Therapy for In Utero Repair of Myelomeningocele - The CuRe Trial","CuRe","Recruiting","No Results Available","Myelomeningocele","Biological: Placental Mesenchymal Stem Cells seeded on a commercially available dural graft extracellular matrix|Other: Untreated contemporaneous cohort","Safety of the placenta-derived mesenchymal stem cell (PMSC-ECM) Product|Efficacy of the PMSC-ECM Product","Diana Lee Farmer|California Institute for Regenerative Medicine (CIRM)|University of California, Davis","All","19 Weeks to 25 Weeks   (Child)","Phase 1|Phase 2","55","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","1617774","June 21, 2021","March 2024","March 2024","December 3, 2020",,"September 6, 2022","UC Davis Health, Sacramento, California, United States",,"https://ClinicalTrials.gov/show/NCT04652908"
8,"NCT05387278","Safety and Effectiveness of Placental Derived Exosomes and Umbilical Cord Mesenchymal Stem Cells in Moderate to Severe Acute Respiratory Distress Syndrome (ARDS) Associated With the Novel Corona Virus Infection (COVID-19)",,"Recruiting","No Results Available","COVID-19 Acute Respiratory Distress Syndrome|Respiratory Distress Syndrome","Drug: EV-Pure™ and WJ-Pure™|Drug: Placebo","To Assess the safety of EV-Pure™ and WJ-Pure™ administration in patients exhibiting moderate to severe ARDS associated with COVID-19, compared to placebo.|To assess the efficacy of EV-Pure™ and WJ-Pure™ compared to placebo, in patients with moderate to severe ARDS assoociated with COVID-19|Time to clinical improvement|Overall Survival|COVID-19 polymerase chain reaction (PCR) test result as negative","Vitti Labs, LLC","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 1","20","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","EW-01","June 2022","October 2022","December 2022","May 24, 2022",,"June 8, 2022","Kit Bartalos, Liberty, Missouri, United States",,"https://ClinicalTrials.gov/show/NCT05387278"
9,"NCT03337243","Effect of Implanting Allogenic Cytokines Derived From Human Amniotic Membrane (HAM) and Mesenchymal Stem Cells Derived From Human Umbilical Cord Wharton's Jelly (HUMCWJ) on Pain and Functioning of Knee Osteoarthritis",,"Completed","No Results Available","Knee Osteoarthritis|Knee Pain Chronic|Joint Disease|Arthritis|Osteo Arthritis Knee|Musculoskeletal Disease","Procedure: HAM and HUMCWJ Injections","Change in Western Ontario and McMaster Universities Arthritis Index (WOMAC) over 3 months|Change in pain during sit-to-stand over 3 months|Change in pain during supine to upright over 3 months|Change in pain during ascent/decent stairs over 3 months","Sport and Spine Rehab Clinical Research Foundation","All","50 Years to 85 Years   (Adult, Older Adult)","Not Applicable","60","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","StemCell","November 9, 2017","April 26, 2019","April 26, 2019","November 8, 2017",,"May 6, 2020","Scott Medical Health Center, Pittsburgh, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT03337243"
10,"NCT00919958","Safety of Intramuscular Injection of Allogeneic PLX-PAD Cells for the Treatment of Critical Limb Ischemia",,"Completed","No Results Available","Peripheral Artery Disease|Peripheral Vascular Disease|Critical Limb Ischemia","Biological: PLX-PAD IM injection","Adverse events, Safety laboratory values and ECG findings|Immunological reaction|Tumorigenesis","Pluristem Ltd.","All","40 Years to 81 Years   (Adult, Older Adult)","Phase 1","15","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Factorial Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","PLX-PAD 1202-1","June 2009","June 2012","June 2012","June 12, 2009",,"June 19, 2012","Franziskus-Krankenhaus, Berlin, Germany",,"https://ClinicalTrials.gov/show/NCT00919958"
