,Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
0,1,NCT04684602,Mesenchymal Stem Cells for the Treatment of Various Chronic and Acute Conditions,,Recruiting,No Results Available,Autoimmune Diseases|Cardiovascular Disorders|Diabetes Complications|Integumentary Disease|Musculoskeletal Disorders|Neurodegenerative Disorders|Neurologic Disorders|Pulmonary Disorders|Sexual Dysfunction|Urologic Disorders|Viral Illness,Biological: PrimePro™/ PrimeMSK™,"Assessment of quality of life (QOL) via 36-Item Short Form Survey (SF-36) change from baseline at 6 and 12 months.|Assessment of disabilities of arm, shoulder, hand via DASH Questionnaire change from baseline at 6 and 12 months.|Assessment of erectile function via International Index of Erectile Function (IIEF-5) change from baseline at 6 and 12 months.|Assessment of COPD via Clinical Chronic Obstructive Pulmonary Disease Questionnaire change from baseline at 6 and 12 months.|Assessment of mental state via Mini Mental State Examination (MMSE) change from baseline at 6 and 12 months.|Assessment of interstitial cystitis via O'Leary/Sant Questionnaire change from baseline at 6 and 12 months.|Assessment of back pain via Oswestry Low Back Pain Disability Questionnaire change from baseline at 6 and 12 months.|Assessment of osteoarthritis via Western Ontario and McMaster Osteoarthritis Index (WOMAC) change from baseline at 6 and 12 months.",Thomas Advanced Medical LLC|HeartStem Institute|NuStem,All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,5000,Industry|Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,ICSS-2020-032,"July 9, 2020","July 9, 2030","December 9, 2030","December 24, 2020",,"April 29, 2022","Southern California Hospital at Culver City / Southern California Hospital at Hollywood / Multiple US-based Sub-Investigator Sites, Culver City, California, United States",,https://ClinicalTrials.gov/show/NCT04684602
1,89,NCT05080465,Long Term Follow up Mesenchymal Stem Cell Therapy for Patients Virus-related Liver Cirrhosis,,"Active, not recruiting",No Results Available,Liver Cirrhosis,Biological: Autologous BM MSC,MR Elastography|The level of serum alanine aminotransferase (ALT)|Clinical Examination|The level of glomerular filtration rate (GFR)|The level of serum albumin (ALB)|The level of serum total bilirubin (TB),Ukraine Association of Biobank,All,"18 Years to 69 Years   (Adult, Older Adult)",Phase 3,700,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other,UAB00240818-1,"December 2, 2018","October 7, 2021","December 31, 2022","October 15, 2021",,"May 18, 2022","Institute of Bio-Stem Cell Rehabilitation, Kharkov, Ukraine",,https://ClinicalTrials.gov/show/NCT05080465
2,615,NCT04492501,Investigational Treatments for COVID-19 in Tertiary Care Hospital of Pakistan,,Completed,No Results Available,Covid19|Cytokine Release Syndrome|Critical Illness|ARDS,Procedure: Therapeutic Plasma exchange|Biological: Convalescent Plasma|Drug: Tocilizumab|Drug: Remdesivir|Biological: Mesenchymal stem cell therapy,survival|duration of hospitalization|Time to resolution of cytokine release storm|Time of viral clearance|Complications,UNICEF|Pak Emirates Military Hospital Rawalpindi,All,"18 Years to 90 Years   (Adult, Older Adult)",Not Applicable,600,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Factorial Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Sultan Mehmood Kamran 3,"April 1, 2020","July 20, 2020","July 20, 2020","July 30, 2020",,"July 30, 2020","Pak Emirates Military Hospital, Rawalpindi, Punjab, Pakistan",,https://ClinicalTrials.gov/show/NCT04492501
3,39,NCT02032004,Efficacy and Safety of Allogeneic Mesenchymal Precursor Cells (Rexlemestrocel-L) for the Treatment of Heart Failure.,DREAM HF-1,Completed,No Results Available,Chronic Heart Failure,Biological: Allogeneic Mesenchymal Precursor Cells (MPCs)|Other: Sham Comparator,"Time to recurrent non-fatal decompensated heart failure major adverse cardiac events (HF-MACE) that occur prior to the first terminal cardiac event (TCE).|Time-to-first terminal cardiac event (TCE)|Time-to-hospital admissions for non-fatal decompensated HF events|Time-to-urgent care outpatient HF visits|Time-to-successfully resuscitated cardiac death (RCD) events|Total length of in-hospital stay in intensive care unit for non-fatal decompensated HF events|Time-to-first HF-MACE (composite of hospital admissions for decompensated HF, urgent care outpatient HF visit, and successfully RCD events)|Time-to-first HF-MACE (composite of hospital admissions for decompensated HF, urgent care outpatient HF visit, successfully RCD events or TCE)|Time-to-cardiac death|Time-to-all-cause death|Time-to-first non-fatal MI (myocardial infarction), non-fatal CVA (cerebrovascular attack) or coronary artery revascularization|Left Ventricular (LV) remodeling in LVESV determined by 2-D echocardiography|Correlations between baseline LVESV <=100 mL and LVESV >100 mL and clinical outcomes|Correlations between baseline LVESV <=100 mL and LVESV >100 mL and change in Month 6 to baseline LVESV and clinical outcomes|LV remodeling in LVEDV determined by 2-D echocardiography|Overall Left Ventricular systolic performance as assessed by left ventricular ejection fraction (LVEF [radionuclide ventriculography {RVG} or echocardiogram])|Functional exercise capacity as assessed by 6 Minute Walk Test|Functional status by New York Heart Association (NYHA) class|Quality of Life Measure - Minnesota Living With Heart Failure (MLHF) questionnaire|Quality of Life Measure - European Quality of Life (EuroQoL) 5-dimensional (EQ-5D) questionnaire|Safety as assessed by occurrence of adverse events related to the index cardiac catheterization on Day 0|Safety as assessed by occurrence of treatment-emergent adverse events|Safety as assessed by clinical laboratory tests (serum chemistry - ALT, AST, alkaline phosphate, GGT, LDH, BUN, creatinine, uric acid, total bilirubin - and hematology - hematocrit, hemoglobin, WBCs, eosinophils, ANC, platelet count)|Safety as assessed by urinalysis (blood, glucose, ketones, total protein)|Safety as assessed by vital signs (pulse, systolic blood pressure [BP], diastolic BP)|Safety as assessed by 12-lead electrocardiogram (ECG) findings - QT interval with Fridericia's correction (QTcF), heart rate-corrected QT interval (QTcB), QT, Q wave, R wave and S wave (QRS) complex, HR and T waves.|Safety as assessed by telemetry monitoring findings (clinically significant arrhythmias)|Safety as assessed by rhythm analysis (specifically, ventricular arrhythmias) by interrogation of any implanted device capable of defibrillation|Safety as assessed by 24-hr Holter monitoring (HR, rate & duration of arrhythmias, a-fib average rate, supra- & ventricular ectopy singles/couplets/runs/totals, sustained & non-sustained ventricular tachycardia, longest pauses RR duration, total pauses)|Safety as assessed by physical examination findings judged as clinically significant changes from baseline by the investigator or newly occurring abnormalities (including weight)|Safety as assessed by important cardiovascular events from adjudicated data","Mesoblast, Inc.|Mesoblast, Ltd.",All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 3,566,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",MSB-MPC-CHF001,"February 14, 2014","May 29, 2020","May 29, 2020","January 9, 2014",,"January 10, 2022","Mesoblast Investigational Site 10757 - Cardiology, P.C., Birmingham, Alabama, United States|Mesoblast Investigational Site 13262 - University of Alabama at Birmingham Hospital, Birmingham, Alabama, United States|Mesoblast Investigational Site 10779 - Mercy Gilbert Medical Center, Gilbert, Arizona, United States|Mesoblast Investigational Site 10786 - Cardiovascular Associates of Mesa, Mesa, Arizona, United States|Mesoblast Investigational Site 10756 - Mayo Clinic, Phoenix, Arizona, United States|Mesoblast Investigational Site 13023 - University of Arizona Medical Center, Tucson, Arizona, United States|Mesoblast Investigational Site 10754 - University of California, San Diego, La Jolla, California, United States|Mesoblast Investigational Site 10759 - Scripps Clinic, La Jolla, California, United States|Mesoblast Investigational Site 13265 - University of California, Los Angeles, Los Angeles, California, United States|Mesoblast Investigational Site 10775 - Cedars-Sinai Medical Care Foundation, Los Angeles, California, United States|Mesoblast Investigational Site 10778 - Orange County Cardiology, Orange, California, United States|Mesoblast Investigational Site 13031 - St. John's Regional Medical Center, Oxnard, California, United States|Mesoblast Investigational Site 13275 - Stanford University Hospital, Stanford, California, United States|Mesoblast Investigational Site 13267 - Bethesda Heart Hospital, Boynton Beach, Florida, United States|Mesoblast Investigational Site 10780 - Morton Plant Hospital, Clearwater, Florida, United States|Mesoblast Investigational Site 10760 - Shands Hospital, University of Florida, Gainesville, Florida, United States|Mesoblast Investigational Site 13273 - University of Florida Health, Jacksonville, Florida, United States|Mesoblast Investigational Site 10768 - University of Miami, Miami, Florida, United States|Mesoblast Investigational Site 13280, Orlando, Florida, United States|Mesoblast Investigational Site 13264 - Florida Hospital Pepin Heart Institute, Tampa, Florida, United States|Mesoblast Investigational Site 13027 - Emory University School of Medicine, Atlanta, Georgia, United States|Mesoblast Investigational Site 10765 - Georgia Regents University, Augusta, Georgia, United States|Mesoblast Investigational Site 10772 - University Cardiologist, Rush University Medical Center, Chicago, Illinois, United States|Mesoblast Investigational Site 13030 - University of Iowa, Iowa City, Iowa, United States|Mesoblast Investigational Site 10783 - Gill Heart Institute, University of Kentucky, Lexington, Kentucky, United States|Mesoblast Investigational Site 13022 - University of Louisville, Louisville, Kentucky, United States|Mesoblast Investigational Site 13266, New Orleans, Louisiana, United States|Mesoblast Investigational Site 10782, Boston, Massachusetts, United States|Mesoblast Investigational Site 10766 - Michigan Cardiovascular Institute, Saginaw, Michigan, United States|Mesoblast Investigational Site 10762 - Minneapolis Heart Institute, Minneapolis, Minnesota, United States|Mesoblast Investigational Site 10761 - Mayo Clinic, Rochester, Minnesota, United States|Mesoblast Investigational Site 13281, Las Vegas, Nevada, United States|Mesoblast Investigational Site 13263 - RWJ Barnabas Heart Center, Newark, New Jersey, United States|Mesoblast Investigational Site 10776 - Columbia University Medical Center, New York, New York, United States|Mesoblast Investigational Site 13026 - Sanger Heart and Vascular Institute, Carolinas Healthcare System, Charlotte, North Carolina, United States|Mesoblast Investigational Site 10781 - Duke University, Durham, North Carolina, United States|Mesoblast Investigational Site 10758 - The Christ Hospital, Cincinnati, Ohio, United States|Mesoblast Investigational Site 10770 - University of Cincinnati, Cincinnati, Ohio, United States|Mesoblast Investigational Site 10773, Cleveland, Ohio, United States|Mesoblast Investigational Site 13278 - OhioHealth Research Institute, Columbus, Ohio, United States|Mesoblast Investigational Site 10785 - Lehigh Valley Hospital, Allentown, Pennsylvania, United States|Mesoblast Investigational Site 13261 - University of Pennsylvania, Philadelphia, Pennsylvania, United States|Mesoblast Investigational Site 10767 - Temple University Hospital, Philadelphia, Pennsylvania, United States|Mesoblast Investigational Site 13277, Philadelphia, Pennsylvania, United States|Mesoblast Investigational Site 10774 - University of Pittsburgh, Pittsburgh, Pennsylvania, United States|Mesoblast Investigational Site 10777 - Stern Cardiovascular Foundation, Germantown, Tennessee, United States|Mesoblast Investigational Site 13024 - Austin Heart, PLLC, Austin, Texas, United States|Mesoblast Investigational Site 13274 - Soltero CV Research Center, Baylor Scott & White Research Institute, Dallas, Texas, United States|Mesoblast Investigational Site 10755 - Texas Heart Institute, Houston, Texas, United States|Mesoblast Investigational Site 13268 - Houston Methodist Hospital, Houston, Texas, United States|Mesoblast Investigational Site 10763 - University Hospital, Salt Lake City, Utah, United States|Mesoblast Investigational Site 10771 - Heart & Vascular Research, Swedish Medical Center, Seattle, Washington, United States|Mesoblast Investigational Site 10764 - University of Wisconsin, Madison, Wisconsin, United States|Mesoblast Investigational Site 10769 - Aurora Healthcare, Milwaukee, Wisconsin, United States|Mesoblast Investigational Site 13279, Milwaukee, Wisconsin, United States|Mesoblast Investigational Site 10789 - Aspirus Research Institute, Wausau, Wisconsin, United States|Mesoblast Investigational Site 11027, Edmonton, Alberta, Canada|Mesoblast Investigational Site 11024 - Victoria Heart Institute Foundation, Victoria, British Columbia, Canada|Mesoblast Investigational Site 11025 - St. Michael's Hospital, Toronto, Ontario, Canada",,https://ClinicalTrials.gov/show/NCT02032004
4,755,NCT03011541,Stem Cell Ophthalmology Treatment Study II,SCOTS2,Recruiting,No Results Available,"Retinal Disease|Age-Related Macular Degeneration|Retinitis Pigmentosa|Stargardt Disease|Optic Neuropathy|Nonarteritic Ischemic Optic Neuropathy|Optic Atrophy|Optic Nerve Disease|Glaucoma|Leber Hereditary Optic Neuropathy|Blindness|Vision Loss Night|Vision Loss Partial|Vision, Low|Retinopathy|Maculopathy|Macular Degeneration|Retina Atrophy",Procedure: Arm 1,Visual Acuity|Visual Fields|Optical Coherence Tomography (OCT),MD Stem Cells,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,500,Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,SCOTS2,January 2016,July 2023,July 2024,"January 5, 2017",,"August 3, 2022","MD Stem Cells, Westport, Connecticut, United States|MD Stem Cells, Coral Springs, Florida, United States|Medcare Orthopaedics & Spine Hospital, Dubai, United Arab Emirates",,https://ClinicalTrials.gov/show/NCT03011541
5,214,NCT03818737,Multicenter Trial of Stem Cell Therapy for Osteoarthritis (MILES),MILES,Completed,No Results Available,Osteoarthritis,Biological: Bone Marrow Derived MSCs|Biological: Adipose-derived MSCs|Biological: Umbilical Cord Tissue (UCT) MSCs|Drug: Corticosteroid injection,Change in Visual Analog Pain Scale (VAS-pain) Score|Change in Knee Injury and Osteoarthritis Outcome Score (KOOS) - Pain Subscale Score|Change in Knee Injury and Osteoarthritis Outcome Score (KOOS) - Total Score|Change in Knee Injury and Osteoarthritis Outcome Score (KOOS) - Symptoms Subscale Score|Change in Knee Injury and Osteoarthritis Outcome Score (KOOS) - Activities of Daily Living (ADL) Function Subscale Score|Change in Knee Injury and Osteoarthritis Outcome Score (KOOS) - Sports and Recreation Function Subscale Score|Change in Knee Injury and Osteoarthritis Outcome Score (KOOS) - Quality of Life (QoL) Subscale Score|Change in EuroQuality of Life (EQ-5D-3L) Index Score|Change in Patient-Reported Outcomes Measurement Information System (PROMIS 29) Score,Emory University|The Marcus Foundation,All,"40 Years to 70 Years   (Adult, Older Adult)",Phase 3,480,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,IRB00108046,"March 28, 2019","May 31, 2022","May 31, 2022","January 28, 2019",,"July 8, 2022","Andrews Institute, Gulf Breeze, Florida, United States|The Emory Clinic, Atlanta, Georgia, United States|Duke University, Durham, North Carolina, United States|Sanford Health, Fargo, North Dakota, United States|Sanford Health, Sioux Falls, South Dakota, United States",,https://ClinicalTrials.gov/show/NCT03818737
6,6,NCT05354141,Bone Marrow Mesenchymal Stem Cell Derived EVs for COVID-19 Moderate-to-Severe Acute Respiratory Distress Syndrome (ARDS): A Phase III Clinical Trial,,Recruiting,No Results Available,COVID-19 Acute Respiratory Distress Syndrome,Drug: EXOFLO,The primary efficacy endpoint is overall 60-day mortality (due to any cause).,"Direct Biologics, LLC",All,"18 Years to 85 Years   (Adult, Older Adult)",Phase 3,400,Industry,Interventional,"Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",DB-EF-PHASEIII-0001,"July 1, 2022","April 3, 2023","July 3, 2023","April 29, 2022",,"August 30, 2022","PRX Research, Mesquite, Texas, United States",,https://ClinicalTrials.gov/show/NCT05354141
7,4,NCT00482092,Evaluation of PROCHYMAL® Adult Human Stem Cells for Treatment-resistant Moderate-to-severe Crohn's Disease,,Completed,No Results Available,Crohn's Disease,Drug: Prochymal®|Drug: Placebo,Disease remission (CDAI at or below 150)|Disease improvement (Reduction by at least 100 points in CDAI)|Improvement in quality of life (IBDQ)|Reduction in number of draining fistulas,"Mesoblast, Inc.|Mesoblast, Ltd.",All,"18 Years to 70 Years   (Adult, Older Adult)",Phase 3,330,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",CRD 603,"September 17, 2007","September 15, 2014","September 15, 2014","June 4, 2007",,"January 13, 2022","University of Southern California University Hospital, Los Angeles, California, United States|University of California, San Francisco, San Francisco, California, United States|Western States Clinical Research, Wheat Ridge, Colorado, United States|Clinical Research of West Florida, Clearwater, Florida, United States|Borland-Groover Clinic, Jacksonville, Florida, United States|Shafran Gastroenterology Center, Winter Park, Florida, United States|Atlanta Gastroenterology Associates, Atlanta, Georgia, United States|University of Chicago Medical Center, Chicago, Illinois, United States|Carle Clinic Association, Urbana, Illinois, United States|Indiana University Medical Center, Indianapolis, Indiana, United States|Cotton-O'Neil Clinical Research Center, Topeka, Kansas, United States|University of Kentucky Hospital, Lexington, Kentucky, United States|University of Louisville Hospital, Louisville, Kentucky, United States|Gulf Coast Research, Baton Rouge, Louisiana, United States|University of Maryland, Baltimore, Baltimore, Maryland, United States|National Institutes of Health, Bethesda, Maryland, United States|Chevy Chase Clinical Research, Chevy Chase, Maryland, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|Brigham and Womens Hospital, Boston, Massachusetts, United States|Clinical Pharmacology Study Group, Worcester, Massachusetts, United States|Center for Clinical Studies, Dearborn, Michigan, United States|Center for Digestive Health, Troy, Michigan, United States|University of Minnesota Hospital, Minneapolis, Minnesota, United States|St Louis Center for Clinical Studies, Saint Louis, Missouri, United States|Dartmouth Hitchcock Medical Center, Lebanon, New Hampshire, United States|Weill Cornell Medical College, New York, New York, United States|Mount Sinai School of Medicine, New York, New York, United States|Rochester Institute for Digestive Diseases, Rochester, New York, United States|Rochester General Hospital, Rochester, New York, United States|University Hospital and Medical Center, Stony Brook, New York, United States|Charlotte Gastroenterology and Hepatology, Charlotte, North Carolina, United States|Pinehurst Medical Clinic, Pinehurst, North Carolina, United States|Wake Forest University, Winston-Salem, North Carolina, United States|Gastroenterology United of Tulsa, Tulsa, Oklahoma, United States|Options Health Research, Tulsa, Oklahoma, United States|Allegheney Center for Digestive Health, Pittsburgh, Pennsylvania, United States|University of Pittsburgh, Pittsburgh, Pennsylvania, United States|Gastroenterology Center of the Midsouth, Germantown, Tennessee, United States|Nashville GI Specialists, Nashville, Tennessee, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States|Baylor University Medical Center, Dallas, Texas, United States|University of Texas Medical Branch, Galveston, Texas, United States|University of Texas Health Science Center, Houston, Texas, United States|University of Vermont, Burlington, Vermont, United States|Digestive and Liver Disease Specialists, Norfolk, Virginia, United States|McGuire Research Institute, Richmond, Virginia, United States|Seattle Gastroenterology Associates, Seattle, Washington, United States|Royal Adelaide Hospital, Adelaide, South Australia, Australia|Royal Melbourne Hospital, Melbourne, Victoria, Australia|University of Calgary, Calgary, Alberta, Canada|University of Alberta Hospital, Edmonton, Alberta, Canada|Health Science Centre, Winnipeg, Manitoba, Canada|London Health Sciences Centre, London, Ontario, Canada|Mount Sinai Hospital, Toronto, Ontario, Canada|University of Otago, Christchurch, New Zealand|Waikato Hospital, Hamilton, New Zealand",,https://ClinicalTrials.gov/show/NCT00482092
8,228,NCT01768702,Safety and Efficacy of Autologous Cardiopoietic Cells for Treatment of Ischemic Heart Failure.,CHART-1,Completed,No Results Available,Heart Failure,"Biological: Injection of C3BS-CQR-1|Biological: Sham, no injection",Efficacy between groups post-index procedure|Efficacy and safety between groups post-index procedure,Celyad Oncology SA,All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 3,315,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment",C3BS-C-11-01|2011-001117-13,November 2012,August 2017,August 2017,"January 15, 2013",,"June 1, 2018","OLV Ziekenhuis Aalst, Aalst, Belgium|Centre Hospitalier Universitaire de Liège, Liège, Belgium|Hopital Civil Marie Curie, Lodelinsart, Belgium|AZ Glorieux, Ronse, Belgium|CHU Mont-Godinne, Yvoir, Belgium|City Clinic Cardiology Center Multiprofile Hospital for Active Treatment, Sofia, Bulgaria|Multiprofile Hospital for Active Treatment 'Tokuda Hospital Sofia', Sofia, Bulgaria|University Multiprofile Hospital for Active Treatment 'Alexandrovska' EAD, Sofia, Bulgaria|Gottsegen György Országos Kardiológiai Intézet - Felnőtt Kardiológiai Osztály, Budapest, Hungary|Semmelweis Egyetem - Városmajori Szív- és Érgyógyászati Klinika, Budapest, Hungary|MH Egészségügyi Központ Kardiológiai Osztály, Budapest, Hungary|Debreceni Egyetem Orvos - és Egészségtudomanyi Centrum, Debrecen, Hungary|Pécsi Tudományegyetem Klinikai Központ - Szívgyógyászati Klinika, Pécs, Hungary|Barzilai Medical Center - Cardiology Unit, Ashkelon, Israel|Hillel Yaffe Medical Center, Hadera, Israel|Western Galilee Hospital, Nahariya, Israel|Nazareth Hospital EMMS, Nazareth, Israel|Ziv Medical Center - Heart Institute, Safed, Israel|A.O. Spedali Civili di Brescia, Brescia, Italy|AOUI Verona - Borgo Trento Hospital, Verona, Italy|Uniwersyteckie Centrum Kliniczne, KliniczneCentrum Kardiologii, Gdansk, Poland|Górnośląskie Centrum Medyczne Śląskiej Akademii Medycznej, Katowice, Poland|Krakowski Szpital Specjalistyczny im. Jana Pawła II w Krakowie, Kraków, Poland|Biegański Hospital, Łódź, Poland|Clinic of Emergency Internal Medicinne Military Medical Academy, Belgrade, Serbia|Clinical Center of Serbia - Cardiology Clinic, Belgrade, Serbia|Clinical Centre of Serbia, Cardiology Clinic, Belgrade, Serbia|Clinical Hospital Center Zvezdara - Cardiology Clinic, Belgrade, Serbia|Clinical Hospital Center Bezanijska Kosa, Cardiology Dept., Belgrade, Serbia|Clinical Center of Kragujevac,, Kragujevac, Serbia|Hospital Universitario Germans Trias i Pujol, Barcelona, Spain|Hospital General Universitario Gregorio Marañon, Madrid, Spain|Hospital Clinico San Carlos, Madrid, Spain|Hospital Clinico Universitario Virgen de la Victoria - Campus de Teatinos s/n, Malaga, Spain|Cardiocentro Ticino, Lugano, Switzerland",,https://ClinicalTrials.gov/show/NCT01768702
9,704,NCT01929434,Efficacy of Stem Cell Transplantation Compared to Rehabilitation Treatment of Patients With Cerebral Paralysis,CP,Completed,No Results Available,Cerebral Palsy,Other: rehabilitation|Biological: stem cell injection,Gross Motor Function Measure Score|Routine Blood Test and Biochemical Test,General Hospital of Chinese Armed Police Forces,All,1 Year to 14 Years   (Child),Phase 3,300,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment,2013-05-13 CP III,October 2013,December 2015,December 2016,"August 28, 2013",,"December 27, 2017","General Hospital of Chinese People's Armed Police Forces, Beijing, Beijing, China",,https://ClinicalTrials.gov/show/NCT01929434
