,Official Title,count,enrolled
0,nan,16,775
1,Treatment of COVID-19-Induced Acute Respiratory Distress: A Phase 2 Study of Intravenous Administration of Allogeneic Adipose-Derived Mesenchymal Stem Cells,3,160
2,"Autologous, Bone Marrow-Derived Mesenchymal Stem Cell-Derived Neural Progenitor Cells (MSC-NP), Expanded Ex Vivo; Administered Intrathecally",2,50
3,Treatment of Laryngotracheal Stenosis Using Autologous Olfactory-mucosa-derived Mesenchymal Stem Cells,2,32
4,"A Randomized, Double Blind, Multicentric, Placebo Controlled, Phase -II Study Assessing the Safety and Efficacy of Intraarticular Ex-vivo Cultured Adult Allogeneic Mesenchymal Stem Cells in Patients With Osteoarthritis of Knee",2,132
5,"An Open-label, Non-randomized, Phase I/II Study of Allogeneic Human Umbilical Cord Tissue-Derived Mesenchymal Stem Cells (UC-MSC) and Liberation Therapy (When Associated With Chronic Cerebrovascular Venous Insufficiency) in Patients With Relapsing Remitting Multiple Sclerosis (RRMS)",2,138
6,A Phase I Study of Autologous Mesenchymal Stromal Cell Coated Fistula Plug in Patients With Fistulizing Crohn's Disease: Pediatric Sub-study,2,5
7,Pilot Study: Augmentation of ACL Reconstruction With Bone Marrow Stem Cells and Amnion Collagen Matrix Wrap,1,40
8,"Allogeneic Human Umbilical Cord-derived Mesenchymal Stem/Stromal Cells for Chronic Obstructive Pulmonary Disease (COPD): Study Protocol for a Matched Case-control, Phase I/II Trial",1,40
9,Pilot Study of Tissue and Hematopoietic/Mesenchymal Stem Cell Collection for Humanized Xenograft Studies in Melanoma and Squamous Head and Neck Cancer,1,40
10,Autologous Bone Marrow Mesenchymal Stem Cell Transplantation for Chronic Ischemic Stroke,1,40
11,Prospective Phase II Study: MSCs in Inflammation-Resolution Programs of SARS-CoV-2 Induced ARDS,1,40
12,Safety and Efficacy Evaluation of Umbilical Cord Mesenchymal Stem Cells Transcatheter Transplantation to Treat Left Ventricular Dysfunction After Acute Myocardial Infarction,1,40
13,Allogeneic Mesenchymal Stem Cell Therapy in Patients With Chronic Kidney Disease: A Phase I Study,1,40
14,Research for Human Umbilical Cord Mesenchymal Stem Cells in the Treatment of Myelodysplastic Syndrome (MDS),1,40
15,Allogeneic Bone Marrow Transplantation (Allo-BMT) From Human Leukocyte Antigen (HLA) - Identical Related and Unrelated Donors in Patients With Hematological Malignancies With High Risk of Relapse Using Cyclophosphamide (CY) and Mesenchymal Stromal Cells (MSC) as aGVHD Prophylaxis,1,40
16,Prospects of Clinical Application of Mesenchymal Stem Cells Seeded in Chitosan Scaffold for Diabetic Foot Ulcers,1,40
17,"Role of Stem Cells, Platelet Rich Plasma and Combination of Them in Treatment of Scars",1,40
18,A Phase IIa Study of Allogeneic Human Mesenchymal Stem Cells in Subjects With Mild to Moderate Dementia Due to Alzheimer's Disease,1,40
19,CELLTOP Part II: A Phase II Clinical Trial of Autologous Adipose Derived Mesenchymal Stem Cells in the Treatment of Paralysis Due to Traumatic Spinal Cord Injury,1,40
20,A Phase Ι/Π Study of Human Cord Blood Mononuclear Cells and Human Umbilical Cord Mesenchymal Stem Cells Transplantation Combined With Hormone Replacement Therapy in Patients With Premature Ovarian Failure,1,40
21,Extracorporeal Shockwave Therapy for Knee Osteoarthritis,1,40
22,Safety and Efficacy of Human Umbilical-Cord-derived Mesenchymal Stem Cell Transplantation in Paraquat Poisoning Induced Lung Injury,1,40
23,Study the Safety and Efficacy of Human Umbilical Cord-derived Mesenchymal Stem Cells in the Treatment of Acute Cerebral Infarction,1,40
24,A Randomized Clinical Trial Evaluating Allogeneic Adipose-derived MesenchymAl Stem Cells as a Treatment of Dry Eye Disease in Patients With Sjögren's Syndrome,1,40
25,Comparison of Autologous Transplantation of Bone Marrow Mesenchymal Stem Cells and Mononuclear Cells on Diabetic Critical Limb Ischemia and Foot Ulcer,1,40
26,The Safety and Efficacy Assessment of Injectable Collagen Scaffold™ Combined With Human Umbilical Cord-derived Mesenchymal Stem Cells (HUC-MSCs) Transplantation in Patients With Decompensated Cirrhosis,1,40
