,Rank,NCTId,Condition,BriefTitle,InterventionName,OfficialTitle,LocationCity,LocationState,LocationCountry,StartDate
0,1,NCT02213705,SYSTEMIC SCLERODERMA|ALLOGENEIC MESENCHYMAL STEM CELLS|ADULT,Treatment of Refractory Sever Systemic Scleroderma by Injection of Allogeneic Mesenchymal Stem Cells,INJECTION OF ALLOGENEIC MESENCHYMAL STEM CELLS,Treatment of Refractory Sever Systemic Scleroderma by Injection of Allogeneic Mesenchymal Stem Cells,Paris,,France,"May 6, 2014"
1,2,NCT01770613,ST Segment Elevation Myocardial Infarction (STEMI)|Allogeneic Mesenchymal Bone Marrow Cells,A Study of Allogeneic Mesenchymal Bone Marrow Cells in Subjects With ST Segment Elevation Myocardial Infarction (STEMI),Stem cells,"A PHASE IIa, DOUBLE-BLINDED, MULTI-CENTER, RANDOMIZED STUDY TO ASSESS THE SAFETY,TOLERABILITY, AND PRELIMINARY EFFICACY OF A SINGLE INTRAVENOUS DOSE OF ALLOGENEIC MESENCHYMAL BONE MARROW CELLS TO SUBJECTS WITH ST SEGMENT ELEVATION MYOCARDIAL INFARCTION (STEMI)",Gilbert|Atlanta,Arizona|Georgia,United States|United States,February 2013
2,3,NCT00953485,Sjogren's Syndrome|Mesenchymal Stem Cells,Allogeneic Mesenchymal Stem Cells Transplantation for Primary Sjögren's Syndrome (pSS),Allogeneic Mesenchymal Stem Cells (AlloMSC),Clinical Trial of Allogeneic Mesenchymal Stem Cells Transplantation for Primary Sjögren's Syndrome - Phase Ⅰ/Ⅱ,Nanjing,Jiangsu,China,June 2009
3,4,NCT03925324,Ischemic Heart Disease|Non-ischemic Cardiomyopathy,Serial Infusions of Allogeneic Mesenchymal Stem Cells in Cardiomyopathy Patients With Left Ventricular Assist Device,Human Allogeneic Mesenchymal Bone Marrow Cells (aMBMC)|Placebo,"A Randomized, Double-Blind, Placebo-Controlled Phase IIa Study of the Safety and Efficacy of Intravenous Delivery of Allogeneic Mesenchymal Stem Cells in Cardiomyopathy Patients and Implanted Left Ventricular Assist Device",Washington,District of Columbia,United States,"May 3, 2019"
4,5,NCT01771679,Chronic Effect of Ultraviolet Radiation on Photoaged Skin|Dermatologic Disorders,Safety Study of Bone Marrow Derived Stem Cells on Patients With Cutaneous Photoaging,Allogeneic Mesenchymal Bone Marrow Cells,"A Phase I/II, Open-Label Study to Assess the Safety, Tolerability, and Preliminary Efficacy of a Single Intravenous Dose of Allogeneic Mesenchymal Bone Marrow Cells to Subjects for Cutaneous Photoaging",La Mesa|San Diego,California|California,United States|United States,July 2015
5,6,NCT03042572,Peripheral Arterial Disease|Cardiovascular Diseases|Vascular Diseases,Allogeneic Mesenchymal Stromal Cells for Angiogenesis and Neovascularization in No-option Ischemic Limbs,Allogeneic Mesenchymal Stromal Cell|Placebo,"Allogeneic Mesenchymal Stromal Cells for Angiogenesis and Neovascularization in No-option Ischemic Limbs; A Double-blind, Randomized, Placebo-controlled Trial",Utrecht,,Netherlands,December 2018
6,7,NCT04776239,Diabetes Mellitus|Ischemic Heart Disease,Allogeneic Mesenchymal Human Stem Cell Infusion Therapy for Endothelial DySfunctiOn in Diabetic Subjects With Symptomatic Ischemic Heart Disease. (ACESO-IHD),100 million Allogeneic Mesenchymal Human Stem Cells|Placebo,Allogeneic Mesenchymal Human Stem Cell Infusion Therapy for Endothelial DySfunctiOn in Diabetic Subjects With Symptomatic Ischemic Heart Disease.,Miami,Florida,United States,"August 16, 2021"
7,8,NCT01378182,Wilson's Disease,Efficacy of Invitro Expanded Bone Marrow Derived Allogeneic Mesenchymal Stem Cell Transplantation Via Portal Vein or Hepatic Artery or Peripheral Vein in Patients With Wilson Cirrhosis,allogeneic mesenchymal stem cell transplantation,Efficacy of Invitro Expanded Bone Marrow Derived Allogeneic Mesenchymal Stem Cell Transplantation Via Portal Vein or Hepatic Artery or Peripheral Vein in Patients With Wilson Cirrhosis,Ankara,,Turkey,April 2011
8,9,NCT00555828,Myocardial Infarction,Safety Study of Allogeneic Mesenchymal Precursor Cells (MPCs) in Subjects With Recent Acute Myocardial Infarction,Allogeneic Mesenchymal Precursor Cells (MPCs)|Standard-of-care treatment with NOGA® mapping and staged injections.|Allogeneic Mesenchymal Precursor Cells (MPCs)|Standard-of-care treatment with NOGA® mapping and staged injections.|Allogeneic Mesenchymal Precursor Cells (MPCs)|Standard-of-care treatment with NOGA® mapping and staged injections.,A Phase 1b/2a Dose Escalation Study to Assess the Safety and Feasibility of Transendocardial Delivery of 3 Different Doses of Allogeneic Mesenchymal Precursor Cells (MPCs) in Subjects With Recent Acute Myocardial Infarction,Minneapolis|Houston,Minnesota|Texas,United States|United States,March 2008
9,10,NCT02032004,Chronic Heart Failure,Efficacy and Safety of Allogeneic Mesenchymal Precursor Cells (Rexlemestrocel-L) for the Treatment of Heart Failure.,Allogeneic Mesenchymal Precursor Cells (MPCs)|Sham Comparator,"Double-blind, Randomized, Sham-procedure-controlled, Parallel-Group Efficacy and Safety Study of Allogeneic Mesenchymal Precursor Cells (Rexlemestrocel-L) in Chronic Heart Failure Due to LV Systolic Dysfunction (Ischemic or Nonischemic) Dream HF-1",Birmingham|Birmingham|Gilbert|Mesa|Phoenix|Tucson|La Jolla|La Jolla|Los Angeles|Los Angeles|Orange|Oxnard|Stanford|Boynton Beach|Clearwater|Gainesville|Jacksonville|Miami|Orlando|Tampa|Atlanta|Augusta|Chicago|Iowa City|Lexington|Louisville|New Orleans|Boston|Saginaw|Minneapolis|Rochester|Las Vegas|Newark|New York|Charlotte|Durham|Cincinnati|Cincinnati|Cleveland|Columbus|Allentown|Philadelphia|Philadelphia|Philadelphia|Pittsburgh|Germantown|Austin|Dallas|Houston|Houston|Salt Lake City|Seattle|Madison|Milwaukee|Milwaukee|Wausau|Edmonton|Victoria|Toronto,Alabama|Alabama|Arizona|Arizona|Arizona|Arizona|California|California|California|California|California|California|California|Florida|Florida|Florida|Florida|Florida|Florida|Florida|Georgia|Georgia|Illinois|Iowa|Kentucky|Kentucky|Louisiana|Massachusetts|Michigan|Minnesota|Minnesota|Nevada|New Jersey|New York|North Carolina|North Carolina|Ohio|Ohio|Ohio|Ohio|Pennsylvania|Pennsylvania|Pennsylvania|Pennsylvania|Pennsylvania|Tennessee|Texas|Texas|Texas|Texas|Utah|Washington|Wisconsin|Wisconsin|Wisconsin|Wisconsin|Alberta|British Columbia|Ontario,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Canada|Canada|Canada,"February 14, 2014"
10,11,NCT02886884,"Diabetes Mellitus, Type 2",Allogeneic Mesenchymal Human Stem Cells Infusion Therapy for Endothelial DySfunctiOn in Diabetic Subjects,20 million Allogeneic Mesenchymal Human Stem Cells|100 million Allogeneic Mesenchymal Human Stem Cells,"A Phase I/II, Randomized, Double Blind, Pilot Trial to Evaluate the Safety and Efficacy of Allogeneic Mesenchymal Human Stem Cells Infusion Therapy for Endothelial DySfunctiOn in Diabetic Subjects",Miami,Florida,United States,"October 20, 2017"
