,Rank,NCTId,Condition,BriefTitle,InterventionName,OfficialTitle,LocationCity,LocationState,LocationCountry,StartDate
0,1,NCT02652130,Grade B Acute Graft Versus Host Disease|Grade C Acute Graft Versus Host Disease|Grade D Acute Graft Versus Host Disease,Safety Follow-up of Treatment With Remestemcel-L in Pediatric Participants Who Have Failed to Respond to Steroid Treatment for Acute GVHD,Remestemcel-L,Safety Follow-up Through 180 Days of Treatment With Remestemcel-L in Study MSB-GVHD001 in Pediatric Patients Who Have Failed to Respond to Steroid Treatment for Acute GVHD,Los Angeles|Orange|San Francisco|Aurora|Wilmington|Miami|Chicago|Detroit|Jackson|Saint Louis|New York|New York|New York|Durham|Portland|Charleston|San Antonio|Richmond|Seattle|Milwaukee,California|California|California|Colorado|Delaware|Florida|Illinois|Michigan|Mississippi|Missouri|New York|New York|New York|North Carolina|Oregon|South Carolina|Texas|Virginia|Washington|Wisconsin,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,"October 28, 2015"
1,2,NCT02336230,Grade B aGVHD|Grade C aGVHD|Grade D aGVHD,"A Prospective Study of Remestemcel-L, Ex-vivo Cultured Adult Human Mesenchymal Stromal Cells, for the Treatment of Pediatric Participants Who Have Failed to Respond to Steroid Treatment for Acute Graft-Versus-Host Disease (aGVHD)",remestemcel-L,"A Single-arm, Prospective Study of Remestemcel-L, Ex-vivo Culture-Expanded Adult Human Mesenchymal Stromal Cells, for the Treatment of Pediatric Patients Who Have Failed to Respond to Steroid Treatment for Acute GVHD",Los Angeles|Orange|San Francisco|Aurora|Wilmington|Miami|Chicago|Detroit|Jackson|Saint Louis|New York|New York|New York|Durham|Portland|Charleston|San Antonio|Richmond|Seattle|Milwaukee,California|California|California|Colorado|Delaware|Florida|Illinois|Michigan|Mississippi|Missouri|New York|New York|New York|North Carolina|Oregon|South Carolina|Texas|Virginia|Washington|Wisconsin,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,"June 4, 2015"
2,3,NCT00877903,Myocardial Infarction,Prochymal® (Human Adult Stem Cells) Intravenous Infusion Following Acute Myocardial Infarction (AMI),Prochymal®|Placebo,"A Phase II, Multi-center, Randomized, Double-blind, Placebo-controlled Study to Evaluate the Safety and Efficacy of PROCHYMAL® (Ex Vivo Cultured Adult Human Mesenchymal Stem Cells) Intravenous Infusion Following Acute Myocardial Infarction",Gilbert|Tucson|Sacramento|San Diego|Miami Beach|Miami|Chicago|Indianapolis|Iowa City|Topeka|Baltimore|Boston|Springfield|Worcester|Royal Oak|Saginaw|Minneapolis|New Brunswick|Buffalo|Stony Brook|Winston-Salem|Cincinnati|Columbus|Portland|Hershey|Philadelphia|Pittsburgh|Germantown|Austin|Houston|Burlington|Madison|Montreal,Arizona|Arizona|California|California|Florida|Florida|Illinois|Indiana|Iowa|Kansas|Maryland|Massachusetts|Massachusetts|Massachusetts|Michigan|Michigan|Minnesota|New Jersey|New York|New York|North Carolina|Ohio|Ohio|Oregon|Pennsylvania|Pennsylvania|Pennsylvania|Tennessee|Texas|Texas|Vermont|Wisconsin|Quebec,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Canada,"March 30, 2009"
3,4,NCT01233960,Crohn's Disease,Evaluation of PROCHYMAL® for Treatment-refractory Moderate-to-severe Crohn's Disease,adult human mesenchymal stem cells,"A Multicenter, Open-label Study to Evaluate the Safety of PROCHYMAL® (Remestemcel-L) Intravenous Infusion in Subjects Who Have Received Previous Remestemcel-L Induction Treatment for Treatment-refractory Moderate-to-severe Crohn's Disease",San Francisco|Clearwater|Winter Park|Chicago|Topeka|Baltimore|Chevy Chase|Saint Louis|Saint Louis|Lebanon|New York|New York|Germantown|Nashville|Dallas|Richmond|Adelaide|Melbourne|Christchurch|Hamilton,California|Florida|Florida|Illinois|Kansas|Maryland|Maryland|Missouri|Missouri|New Hampshire|New York|New York|Tennessee|Tennessee|Texas|Virginia|South Australia|Victoria,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Australia|Australia|New Zealand|New Zealand,"November 29, 2010"
4,5,NCT00284986,Graft Versus Host Disease,Safety and Efficacy of Prochymal® for the Salvage of Treatment-Refractory Acute GVHD Patients,Prochymal®,A Phase II Open Label Study to Evaluate the Safety and Efficacy of Prochymal® (Ex-vivo Cultured Adult Human Mesenchymal Stem Cells) Infusion for the Salvage of Treatment-Refractory Acute GVHD Patients,Durham,North Carolina,United States,"November 18, 2005"
5,6,NCT00690066,"Type 1 Diabetes Mellitus|Type 1 Diabetes|Diabetes Mellitus, Insulin-Dependent|Juvenile Diabetes",PROCHYMAL® (Human Adult Stem Cells) for the Treatment of Recently Diagnosed Type 1 Diabetes Mellitus (T1DM),PROCHYMAL®|Placebo,"A Phase II, Multicenter, Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Safety and Efficacy of PROCHYMAL® (Ex Vivo Cultured Adult Human Mesenchymal Stem Cells) for the Treatment of Recently Diagnosed Type 1 Diabetes Mellitus",Birmingham|La Jolla|Stanford|Gainesville|Miami|Lexington|Minneapolis|Henderson|Las Vegas|Chapel Hill|Charlotte|Cincinnati|Dayton|Carlisle|Bartlett|Dallas|Salt Lake City|Norfolk|Madison|Milwaukee,Alabama|California|California|Florida|Florida|Kentucky|Minnesota|Nevada|Nevada|North Carolina|North Carolina|Ohio|Ohio|Pennsylvania|Tennessee|Texas|Utah|Virginia|Wisconsin|Wisconsin,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,"June 11, 2008"
6,7,NCT00759018,Graft vs Host Disease|Graft-Versus-Host Disease,Prochymal Expanded Access Treatment for Pediatric Patients Who Have Failed Steroids for Acute GVHD,remestemcel-L,Expanded Access of Prochymal (Ex-vivo Cultured Adult Human Mesenchymal Stem Cells) Infusion for the Treatment of Pediatric Patients Who Have Failed to Respond to Steroid Treatment for Acute GVHD,Phoenix|Orange|San Francisco|Washington|Jacksonville|Miami|Chicago|Indianapolis|New Orleans|Detroit|Kansas City|Saint Louis|Hackensack|New York|New York|Charlotte|Durham|Portland|Charleston|Nashville|Houston|San Antonio|Richmond|Milwaukee|Calgary|Montreal|Montreal,Arizona|California|California|District of Columbia|Florida|Florida|Illinois|Indiana|Louisiana|Michigan|Missouri|Missouri|New Jersey|New York|New York|North Carolina|North Carolina|Oregon|South Carolina|Tennessee|Texas|Texas|Virginia|Wisconsin|Alberta|Quebec|Quebec,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Canada|Canada|Canada,
7,8,NCT00562497,Graft Versus Host Disease,Efficacy and Safety of Prochymal® Infusion in Combination With Corticosteroids for the Treatment of Newly Diagnosed Acute Graft Versus Host Disease (GVHD),Prochymal®|Placebo|Corticosteroid,"A Phase III, Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Efficacy and Safety of Prochymal® Infusion in Combination With Corticosteroids for the Treatment of Newly Diagnosed Acute GVHD",Birmingham|Los Angeles|San Francisco|Denver|Gainesville|Atlanta|Atlanta|Chicago|Chicago|Chicago|Maywood|Indianapolis|Indianapolis|Louisville|Boston|Boston|Boston|Boston|Detroit|Rochester|Jackson|Lee's Summit|Saint Louis|Buffalo|New York|New York|New York|Chapel Hill|Durham|Winston-Salem|Cincinnati|Columbus|Hershey|Philadelphia|Philadelphia|Pittsburgh|Pittsburgh|Pittsburgh|Charleston|Dallas|Houston|San Antonio|Richmond|Seattle|Milwaukee|Adelaide|Parkville|Perth|Darlinghurst|Herston|Calgary|Ottawa|Toronto,Alabama|California|California|Colorado|Florida|Georgia|Georgia|Illinois|Illinois|Illinois|Illinois|Indiana|Indiana|Kentucky|Massachusetts|Massachusetts|Massachusetts|Massachusetts|Michigan|Minnesota|Mississippi|Missouri|Missouri|New York|New York|New York|New York|North Carolina|North Carolina|North Carolina|Ohio|Ohio|Pennsylvania|Pennsylvania|Pennsylvania|Pennsylvania|Pennsylvania|Pennsylvania|South Carolina|Texas|Texas|Texas|Virginia|Washington|Wisconsin|South Australia|Victoria|Western Australia|Alberta|Ontario|Ontario,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Australia|Australia|Australia|Australia|Australia|Canada|Canada|Canada,"January 31, 2008"
8,9,NCT01510431,Crohn's Disease,Safety and Treatment Outcome Study of PROCHYMAL® (Remestemcel-L) Intravenous Infusion in Subjects With Treatment-resistant Crohn's Disease,PROCHYMAL (remestemcel-L),An Open-label Compassionate Treatment Protocol to Evaluate the Safety and Treatment Outcomes of PROCHYMAL® (Remestemcel-L) Intravenous Infusion in Subjects With Treatment-resistant Crohn's Disease,San Francisco|Topeka|New York|Nashville,California|Kansas|New York|Tennessee,United States|United States|United States|United States,
9,10,NCT00683722,"Pulmonary Disease, Chronic Obstructive|Pulmonary Emphysema|Chronic Bronchitis",PROCHYMAL™ (Human Adult Stem Cells) for the Treatment of Moderate to Severe Chronic Obstructive Pulmonary Disease (COPD),Prochymal™|Placebo,"A Phase II, Multicenter, Randomized, Double-blind, Placebo-controlled Study to Evaluate the Safety and Efficacy of PROCHYMAL™ (ex Vivo Cultured Adult Human Mesenchymal Stem Cells) Intravenous Infusion for the Treatment of Subjects With Moderate to Severe Chronic Obstructive Pulmonary Disease (COPD)",Los Angeles|Torrance|Charlotte|Greenville|Spartanburg|Burlington,California|California|North Carolina|South Carolina|South Carolina|Vermont,United States|United States|United States|United States|United States|United States,"March 20, 2008"
