"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT00294112","Prochymal™ Adult Human Mesenchymal Stem Cells for Treatment of Moderate-to-severe Crohn's Disease",,"Completed","No Results Available","Crohn's Disease","Drug: Prochymal™ adult human mesenchymal stem cells|Drug: adult human mesenchymal stem cells","Number of Participants with Reduction in Crohn's Disease Activity Index (CDAI) of at Least 100 Points|Number of Participants with Reduction in CDAI of at Least 70 points|Improvement as Assessed by the Inflammatory Bowel Disease Questionnaire (IBDQ)|Time to Improvement in IBDQ|Number of Participants with Reduction of at Least 50% in Fistulas in Participants with Fistulas Draining Under Moderate Compression|Number of Participants with Induction of Remission as Defined by Reduction of CDAI to Below 150|Time to Reduction in CDAI of at Least 100 Points|Time to Reduction in CDAI of at Least 70 Points|Time to Induction of Remission as Defined by Reduction of CDAI to Below 150.|Number of Participants with Adverse Events","Mesoblast, Inc.|Mesoblast, Ltd.","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 2","10","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","OSIRIS-601-602","March 13, 2006","July 21, 2006","July 21, 2006","February 20, 2006",,"April 2, 2020","Osiris Clinical Site, Baton Rouge, Louisiana, United States|Osiris Clinical Site, Charlotte, North Carolina, United States|Osiris Clinical Site, Pittsburgh, Pennsylvania, United States|Osiris Clinical Site, Richmond, Virginia, United States",,"https://ClinicalTrials.gov/show/NCT00294112"
2,"NCT00690066","PROCHYMAL® (Human Adult Stem Cells) for the Treatment of Recently Diagnosed Type 1 Diabetes Mellitus (T1DM)",,"Completed","No Results Available","Type 1 Diabetes Mellitus|Type 1 Diabetes|Diabetes Mellitus, Insulin-Dependent|Juvenile Diabetes","Drug: PROCHYMAL®|Drug: Placebo","C-peptide area under the concentration curve (AUC) response (MMTT)|Peak C-peptide response (MMTT)|Basal C-peptide response|Total daily insulin dose (units/kg)|Glycosylated hemoglobin (HbA1c) levels|Number of severe and documented hypoglycemic events|Changes in levels of glutamic acid decarboxylase (GAD) or islet antigen 2 (IA-2) autoantibodies","Mesoblast, Inc.|Juvenile Diabetes Research Foundation|Mesoblast, Ltd.","All","12 Years to 35 Years   (Child, Adult)","Phase 2","63","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","901","June 11, 2008","December 12, 2010","December 19, 2011","June 4, 2008",,"December 23, 2021","University of Alabama, Division of Endocrinology & Metabolism, Birmingham, Alabama, United States|Scripps Whittier Diabetes Institute, La Jolla, California, United States|Stanford University, Stanford, California, United States|University of Florida, Gainesville, Florida, United States|Diabetes Research Institute, Miami, Florida, United States|University of Kentucky, Lexington, Kentucky, United States|University of Minnesota, Minneapolis, Minnesota, United States|Desert Endocrinology CRC, Henderson, Nevada, United States|Nevada Alliance Against Diabetes, Las Vegas, Nevada, United States|University of North Carolina Diabetes Care Center, Chapel Hill, North Carolina, United States|American Health Research, Inc., Charlotte, North Carolina, United States|The Lindner Clinical Trial Center, Cincinnati, Ohio, United States|Providence Health Partners - Center for Clinical Research, Dayton, Ohio, United States|Cumberland Valley Endocrinology, Carlisle, Pennsylvania, United States|AM Diabetes & Endocrinology Center, Bartlett, Tennessee, United States|The University of Texas Southwestern Medical Center, Dallas, Texas, United States|Optimum Clinical Research, Inc., Salt Lake City, Utah, United States|The Strelitz Diabetes Center, Eastern VA Medical School, Norfolk, Virginia, United States|University of Wisconsin Health- West Clinic, Madison, Wisconsin, United States|Clinical and Transitional Science Institute, Milwaukee, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT00690066"
3,"NCT00366145","Efficacy and Safety of Adult Human Mesenchymal Stem Cells to Treat Steroid Refractory Acute Graft Versus Host Disease (GVHD)",,"Completed","No Results Available","Graft Versus Host Disease","Biological: Prochymal®|Drug: Placebo|Drug: Standard of Care for GVHD","Percentage of Participants achieving Complete Response of Greater Than or Equal to 28 Days Duration|Overall Survival at 180 days Post First Infusion","Mesoblast, Inc.|Mesoblast, Ltd.","All","6 Months to 70 Years   (Child, Adult, Older Adult)","Phase 3","260","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","280","August 17, 2006","December 26, 2008","May 28, 2009","August 21, 2006",,"February 10, 2022","University of Alabama at Birmingham, Birmingham, Alabama, United States|Arizona Cancer Center, Tucson, Arizona, United States|City of Hope, Duarte, California, United States|Univeristy of California San Francisco, San Francisco, California, United States|Yale New Haven Hospital, New Haven, Connecticut, United States|University of Miami, Miami, Florida, United States|All Children's Hospital, Saint Petersburg, Florida, United States|Emory University, Atlanta, Georgia, United States|Northside Hospital, Atlanta, Georgia, United States|Northwestern Center for Clinical Research, Chicago, Illinois, United States|Rush University Medical Center, Chicago, Illinois, United States|University of Illinois - Chicago, Chicago, Illinois, United States|Indiana Blood and Bone Marrow Transplant Center, Beech Grove, Indiana, United States|Univeristy of Iowa Hospitals and Clinics, Iowa City, Iowa, United States|University of Kansas Medical Center, Kansas City, Kansas, United States|University of Louisville, Louisville, Kentucky, United States|Louisiana State University, Shreveport, Louisiana, United States|University of Maryland/Greenbaum, Baltimore, Maryland, United States|Tufts-New England Medical Center, Boston, Massachusetts, United States|Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, United States|Karmanos/Wayne State University, Detroit, Michigan, United States|Mayo Clinic Rochester, Rochester, Minnesota, United States|Univeristy of Mississippi Medical Center, Jackson, Mississippi, United States|University of Nebraska, Omaha, Nebraska, United States|Hackensack University Medical Center, Hackensack, New Jersey, United States|Roswell Park, Buffalo, New York, United States|New York Presbyterian Hospital, New York, New York, United States|Mount Sinai Medical Center, New York, New York, United States|Columbia University/New York Presbyterian Hospital, New York, New York, United States|University of Rochester, Rochester, New York, United States|New York Medical College, Valhalla, New York, United States|Duke University, Durham, North Carolina, United States|Wake Forest Univeristy School of Medicine, Winston-Salem, North Carolina, United States|Oregon Health and Science University, Portland, Oregon, United States|Penn State Hershey Medical Center, Hershey, Pennsylvania, United States|Western Pennsylvania Cancer Institute, Pittsburgh, Pennsylvania, United States|Medical University of South Carolina, Charleston, South Carolina, United States|Texas Cancer Center at Medical City, Dallas, Texas, United States|Baylor University, Dallas, Texas, United States|Univeristy of Texas Southwestern Medical Center, Dallas, Texas, United States|MD Anderson Cancer Center, Houston, Texas, United States|Texas Research Center, San Antonio, Texas, United States|Virginia Commonwealth/Massey Cancer Center, Richmond, Virginia, United States|Fred Hutchinson Cancer Research Center, Seattle, Washington, United States|University of Wisconsin Madison, Madison, Wisconsin, United States|Medical College of Wisconsin, Milwaukee, Wisconsin, United States|Royal Brisbane Hospital, Herston, Queensland, Australia|Royal Melbourne Hospital, Parkville, Victoria, Australia|Royal Perth Hospital, Perth, Western Australia, Australia|Co-Medica Research Network, Calgary, Alberta, Canada|British Columbia's Children's Hospital, Vancouver, British Columbia, Canada|Cancer Care Manitoba, Winnipeg, Manitoba, Canada|Queen Elizabeth II Health Sciences Centre, Halifax, Nova Scotia, Canada|Hamilton Health Sciences Centre, Hamilton, Ontario, Canada|London Health Sciences Centre- Westminster Campus, London, Ontario, Canada|Ottawa Hospital, Ottawa, Ontario, Canada|Toronto General Hospital, Toronto, Ontario, Canada|Princess Margaret Hospital, Toronto, Ontario, Canada|Maisonneuve-Rosemont Hospital, Montreal, Quebec, Canada|Hopital Enfant-Jesus, Quebec, Canada|Hopital du Saint-Sacrement, Quebec, Canada|Universia degli Studi di Pesaro, Pesaro, PU, Italy|IRCCS Policlinico San Matteo, Pavia, Italy|Kantonsspital Basel, Basel, Switzerland|Barts & London School of Medicine, London, England, United Kingdom|John Radcliffe Hospital, Headington, Oxford, United Kingdom|Bristol Royal Hospital for Children, Bristol, UK, United Kingdom|Glasgow Royal Infirmary, Glasgow, UK, United Kingdom|Leeds General Infirmary, Leeds, UK, United Kingdom",,"https://ClinicalTrials.gov/show/NCT00366145"
4,"NCT00482092","Evaluation of PROCHYMAL® Adult Human Stem Cells for Treatment-resistant Moderate-to-severe Crohn's Disease",,"Completed","No Results Available","Crohn's Disease","Drug: Prochymal®|Drug: Placebo","Disease remission (CDAI at or below 150)|Disease improvement (Reduction by at least 100 points in CDAI)|Improvement in quality of life (IBDQ)|Reduction in number of draining fistulas","Mesoblast, Inc.|Mesoblast, Ltd.","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 3","330","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","CRD 603","September 17, 2007","September 15, 2014","September 15, 2014","June 4, 2007",,"January 13, 2022","University of Southern California University Hospital, Los Angeles, California, United States|University of California, San Francisco, San Francisco, California, United States|Western States Clinical Research, Wheat Ridge, Colorado, United States|Clinical Research of West Florida, Clearwater, Florida, United States|Borland-Groover Clinic, Jacksonville, Florida, United States|Shafran Gastroenterology Center, Winter Park, Florida, United States|Atlanta Gastroenterology Associates, Atlanta, Georgia, United States|University of Chicago Medical Center, Chicago, Illinois, United States|Carle Clinic Association, Urbana, Illinois, United States|Indiana University Medical Center, Indianapolis, Indiana, United States|Cotton-O'Neil Clinical Research Center, Topeka, Kansas, United States|University of Kentucky Hospital, Lexington, Kentucky, United States|University of Louisville Hospital, Louisville, Kentucky, United States|Gulf Coast Research, Baton Rouge, Louisiana, United States|University of Maryland, Baltimore, Baltimore, Maryland, United States|National Institutes of Health, Bethesda, Maryland, United States|Chevy Chase Clinical Research, Chevy Chase, Maryland, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|Brigham and Womens Hospital, Boston, Massachusetts, United States|Clinical Pharmacology Study Group, Worcester, Massachusetts, United States|Center for Clinical Studies, Dearborn, Michigan, United States|Center for Digestive Health, Troy, Michigan, United States|University of Minnesota Hospital, Minneapolis, Minnesota, United States|St Louis Center for Clinical Studies, Saint Louis, Missouri, United States|Dartmouth Hitchcock Medical Center, Lebanon, New Hampshire, United States|Weill Cornell Medical College, New York, New York, United States|Mount Sinai School of Medicine, New York, New York, United States|Rochester Institute for Digestive Diseases, Rochester, New York, United States|Rochester General Hospital, Rochester, New York, United States|University Hospital and Medical Center, Stony Brook, New York, United States|Charlotte Gastroenterology and Hepatology, Charlotte, North Carolina, United States|Pinehurst Medical Clinic, Pinehurst, North Carolina, United States|Wake Forest University, Winston-Salem, North Carolina, United States|Gastroenterology United of Tulsa, Tulsa, Oklahoma, United States|Options Health Research, Tulsa, Oklahoma, United States|Allegheney Center for Digestive Health, Pittsburgh, Pennsylvania, United States|University of Pittsburgh, Pittsburgh, Pennsylvania, United States|Gastroenterology Center of the Midsouth, Germantown, Tennessee, United States|Nashville GI Specialists, Nashville, Tennessee, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States|Baylor University Medical Center, Dallas, Texas, United States|University of Texas Medical Branch, Galveston, Texas, United States|University of Texas Health Science Center, Houston, Texas, United States|University of Vermont, Burlington, Vermont, United States|Digestive and Liver Disease Specialists, Norfolk, Virginia, United States|McGuire Research Institute, Richmond, Virginia, United States|Seattle Gastroenterology Associates, Seattle, Washington, United States|Royal Adelaide Hospital, Adelaide, South Australia, Australia|Royal Melbourne Hospital, Melbourne, Victoria, Australia|University of Calgary, Calgary, Alberta, Canada|University of Alberta Hospital, Edmonton, Alberta, Canada|Health Science Centre, Winnipeg, Manitoba, Canada|London Health Sciences Centre, London, Ontario, Canada|Mount Sinai Hospital, Toronto, Ontario, Canada|University of Otago, Christchurch, New Zealand|Waikato Hospital, Hamilton, New Zealand",,"https://ClinicalTrials.gov/show/NCT00482092"
5,"NCT02336230","A Prospective Study of Remestemcel-L, Ex-vivo Cultured Adult Human Mesenchymal Stromal Cells, for the Treatment of Pediatric Participants Who Have Failed to Respond to Steroid Treatment for Acute Graft-Versus-Host Disease (aGVHD)",,"Completed","Has Results","Grade B aGVHD|Grade C aGVHD|Grade D aGVHD","Drug: remestemcel-L","Overall Response Rate (ORR) at Day 28 Post Initiation of Therapy|Overall Survival (OS) Rate at Day 100 Post Initiation of Therapy|OS Rate at Day 100 Post Initiation of Therapy, Stratified by Responder Status at Day 28|OS Rate at Day 100 Post Initiation of Therapy, Stratified by Baseline aGVHD Grade|OS Rate at Day 100 Post Initiation of Therapy, Stratified by Organ Involvement|OR Rate at Day 56 and 100 Post Initiation of Therapy","Mesoblast, Inc.|Quintiles, Inc.|Mesoblast, Ltd.","All","2 Months to 17 Years   (Child)","Phase 3","55","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MSB-GVHD001","June 4, 2015","April 9, 2018","April 9, 2018","January 12, 2015","March 17, 2022","March 17, 2022","Children's Hospital Los Angeles, Los Angeles, California, United States|Children's Hospital of Orange County, Orange, California, United States|University of California at San Francisco, San Francisco, California, United States|Children's Hospital Colorado Center for Cancer/Blood Disorders, Aurora, Colorado, United States|Alfred I. DuPont Hospital for Children of the Nemours Foundation, Wilmington, Delaware, United States|Miami Children's Research Institute, Miami, Florida, United States|Ann & Robert H. Lurie Children's Hospital of Chicago, Chicago, Illinois, United States|Children's Hospital of Michigan, Detroit, Michigan, United States|University of Mississippi Medical Center, Jackson, Mississippi, United States|Washington University, Saint Louis, Missouri, United States|Columbia University Medical Center, New York, New York, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States|Albert Einstein College of Medicine, New York, New York, United States|Duke University Medical Center, Durham, North Carolina, United States|Oregon University, Portland, Oregon, United States|Medical University of South Carolina, Charleston, South Carolina, United States|Texas Transplant Institute, San Antonio, Texas, United States|Virginia Commonwealth University, Richmond, Virginia, United States|Fred Hutchinson Cancer Research, Seattle, Washington, United States|Medical College of Wisconsin, Milwaukee, Wisconsin, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/30/NCT02336230/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT02336230"
6,"NCT00877903","Prochymal® (Human Adult Stem Cells) Intravenous Infusion Following Acute Myocardial Infarction (AMI)",,"Completed","No Results Available","Myocardial Infarction","Drug: Prochymal®|Drug: Placebo","Change from Baseline in Cardiac Magnetic Resonance (CMR) imaging-determined End Systolic Volume (ESV) at Month 3|Left Ventricular End Systolic Volume|Infarct Size|Left Ventricular Ejection Fraction|Left Ventricular End Diastolic Volume|Number of Participants with Ventricular Arrhythmias|Duke Activity Status Index (DASI) Assessment|New York Heart Association (NYHA) Congestive Heart Failure Classification Status|Maximal Symptom-limited Exercise Test (Treadmill)|Number of Participants with Major Adverse Cardiac Events (MACE)|Overall Survival|Number of Participants with Adverse Events","Mesoblast, Inc.|Mesoblast, Ltd.","All","21 Years to 85 Years   (Adult, Older Adult)","Phase 2","220","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","403","March 30, 2009","May 18, 2011","March 14, 2016","April 8, 2009",,"January 13, 2022","Mercy Gilbert Medical Center / Catholic Health Care West, Gilbert, Arizona, United States|University of Arizona, Tucson, Arizona, United States|UC Davis Medical Center, Sacramento, California, United States|University of California - San Diego (UCSD), San Diego, California, United States|Mount Sinai Medical Center, Miami Beach, Florida, United States|University of Miami, Miami, Florida, United States|Rush University Medical Center, Chicago, Illinois, United States|The Care Group, Indianapolis, Indiana, United States|University of Iowa Hospitals and Clinics, Iowa City, Iowa, United States|Cotton-O'Neil Clinical Research Center, Topeka, Kansas, United States|University of Maryland Hospital, Baltimore, Maryland, United States|Tufts Medical Center, Boston, Massachusetts, United States|Baystate Medical Center, Springfield, Massachusetts, United States|UMass Memorial Medical Center, Worcester, Massachusetts, United States|William Beaumont Hospital, Royal Oak, Michigan, United States|Michigan Cardiovascular Institute, Saginaw, Michigan, United States|Minneapolis Heart Institute, Minneapolis, Minnesota, United States|UMDNJ - Robert Wood Johnson Medical School, New Brunswick, New Jersey, United States|University at Buffalo - Buffalo General Hospital, Buffalo, New York, United States|Stony Brook University Medical Center, Stony Brook, New York, United States|Wake Forest University School of Medicine, Winston-Salem, North Carolina, United States|The Lindner Research Center, Cincinnati, Ohio, United States|The Ohio State University Medical Center, Columbus, Ohio, United States|Oregon Health & Science University, Portland, Oregon, United States|Penn State University - Milton S. Hershey Medical Center, Hershey, Pennsylvania, United States|Drexel University College of Medicine, Philadelphia, Pennsylvania, United States|Allegheny General Hospital, Pittsburgh, Pennsylvania, United States|The Stern Cardiovascular Center, Germantown, Tennessee, United States|Austin Heart P.A., Austin, Texas, United States|University of Texas Health Science Center, Houston, Texas, United States|Fletcher Allen Health Care, Burlington, Vermont, United States|University of Wisconsin School of Medicine, Madison, Wisconsin, United States|McGill University Health Centre, Montreal, Quebec, Canada",,"https://ClinicalTrials.gov/show/NCT00877903"
7,"NCT00136903","Safety and Efficacy Study of Adult Human Mesenchymal Stem Cells to Treat Acute Graft Versus Host Disease (GVHD)",,"Completed","No Results Available","Graft Vs Host Disease","Drug: Prochymal® - 2 Million cells/kg|Drug: Prochymal®- 8 Million cells/kg|Drug: Methylprednisolone|Drug: Prednisone|Drug: Cyclosporine|Drug: Tacrolimus|Drug: Mycophenolate Mofetil","Protocol 260 - Response by Day 28, also called Overall Response (OR). OR includes complete response (CR) and partial response (PR)|Protocol 261-The incidence rate of different adverse events among participants treated with either dose of Prochymal® in the preceding study (Protocol No. 260).|Protocol 260 - Partial Response or Improvement of GVHD by Day 28 in one or more organs involved with GVHD symptoms at Day 1,|Protocol 260 - Time to best response of GVHD|Protocol 260 - Time to improvement of GVHD in one or more organs|Protocol 261 - Survival through study day 90","Mesoblast, Inc.|Mesoblast, Ltd.","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 2","32","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","260-261","April 27, 2005","July 28, 2006","July 14, 2008","August 29, 2005",,"January 31, 2022","St. Francis Hospital, Indianapolis, Indiana, United States|Kansas City Cancer Centers - BMT, Kansas City, Missouri, United States|The Cancer Center at Hackensack University, Hackensack, New Jersey, United States|Roswell Park Cancer Institute, Buffalo, New York, United States|Mt. Sinai Hospital, New York, New York, United States|University of Rochester, Rochester, New York, United States|New York Medical College, Valhalla, New York, United States|MD Anderson Cancer Center, Houston, Texas, United States|Medical College of Wisconsin, FEC, Milwaukee, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT00136903"
8,"NCT01233960","Evaluation of PROCHYMAL® for Treatment-refractory Moderate-to-severe Crohn's Disease",,"Completed","No Results Available","Crohn's Disease","Drug: adult human mesenchymal stem cells","Disease remission|Disease Improvement|Improvement in Quality of Life (IBDQ)|Number of Adverse events as a measure of safety|Infusional toxicity as a measure of safety and tolerability","Mesoblast, Inc.|Mesoblast, Ltd.","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 3","73","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CRD 611","November 29, 2010","September 15, 2014","September 15, 2014","November 3, 2010",,"December 8, 2021","University of California, San Francisco, San Francisco, California, United States|Clinical Research of West Florida, Clearwater, Florida, United States|Shafran Gastroenterology Center, Winter Park, Florida, United States|University of Chicago, Chicago, Illinois, United States|Cotton-O'Neil Clinical Research Center, Topeka, Kansas, United States|University of Maryland, Baltimore, Baltimore, Maryland, United States|Chevy Chase Clinical Research, Chevy Chase, Maryland, United States|Saint Louis Center for Clinical Research, Saint Louis, Missouri, United States|St. Louis Center for Clinical Studies, Saint Louis, Missouri, United States|Dartmouth HItchcock Medical Center, Lebanon, New Hampshire, United States|Weill Cornell Medical College, New York, New York, United States|Mount Sinai School of Medicine, New York, New York, United States|Gastroenterology Center of the Midsouth, PC, Germantown, Tennessee, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States|Baylor University Medical Center, Dallas, Texas, United States|McGuire Research Institute, Richmond, Virginia, United States|Royal Adelaide Hospital, Adelaide, South Australia, Australia|Royal Melbourne Hospital, Melbourne, Victoria, Australia|University of Otago, Christchurch, New Zealand|Waikato Hospital, Hamilton, New Zealand",,"https://ClinicalTrials.gov/show/NCT01233960"
9,"NCT00543374","Extended Evaluation of PROCHYMAL® Adult Human Stem Cells for Treatment-Resistant Moderate-to-Severe Crohn's Disease",,"Completed","No Results Available","Crohn's Disease","Drug: Placebo|Drug: PROCHYMAL adult human mesenchymal stem cells","Duration of clinical benefit (Crohn's disease activity index)|Re-induction of clinical benefit (Crohn's disease activity index)|Improvement in quality of life (Inflammatory Bowel Disease Questionnaire [IBDQ] instrument)","Mesoblast, Inc.|Mesoblast, Ltd.","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 3","98","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","CRD 610","September 17, 2007","July 2009","April 28, 2011","October 15, 2007",,"December 28, 2021","Advanced Clinical Research Institute, Anaheim, California, United States|Veteran's Administration Medical Center (does not require vet status), Long Beach, California, United States|University of Southern California University Hospital, Los Angeles, California, United States|University of California, San Francisco, San Francisco, California, United States|Western States Clinical Research, Wheat Ridge, Colorado, United States|Gastroenterology Center of Connecticut, Hamden, Connecticut, United States|Clinical Research of West Florida, Clearwater, Florida, United States|Borland-Groover Clinic, Jacksonville, Florida, United States|Venture Research Institute, Miami, Florida, United States|Shafran Gastroenterology Center, Winter Park, Florida, United States|Atlanta Gastroenterology Associates, Atlanta, Georgia, United States|University of Chicago Medical Center, Chicago, Illinois, United States|Carle Clinic Association, Urbana, Illinois, United States|Indiana University Medical Center, Indianapolis, Indiana, United States|Cotton-O'Neil Clinical Research Center, Topeka, Kansas, United States|University of Kentucky Hospital, Lexington, Kentucky, United States|University of Louisville Hospital, Louisville, Kentucky, United States|Gulf Coast Research, Baton Rouge, Louisiana, United States|National Institutes of Health, Bethesda, Maryland, United States|Metropolitan Gastroenterology Group, Chevy Chase, Maryland, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|Brigham and Womens Hospital, Boston, Massachusetts, United States|Clinical Pharmacology Study Group, Worcester, Massachusetts, United States|Center for Clinical Studies, Dearborn, Michigan, United States|Center for Digestive Health, Troy, Michigan, United States|University of Minnesota Hospital, Minneapolis, Minnesota, United States|St Louis Center for Clinical Studies, Saint Louis, Missouri, United States|Dartmouth Hitchcock Medical Center, Lebanon, New Hampshire, United States|Gastroenterology Research Associates, Cedar Knolls, New Jersey, United States|Holy Name Hospital, Teaneck, New Jersey, United States|Weill Cornell Medical College, New York, New York, United States|Mount Sinai School of Medicine, New York, New York, United States|Rochester Institute for Digestive Diseases, Rochester, New York, United States|Rochester General Hospital, Rochester, New York, United States|University Hospital and Medical Center, Stony Brook, New York, United States|Charlotte Gastroenterology and Hepatology, Charlotte, North Carolina, United States|Pinehurst Medical Clinic, Pinehurst, North Carolina, United States|Wake Forest University, Winston-Salem, North Carolina, United States|Dayton Science Institute, Dayton, Ohio, United States|Gastroenterology United of Tulsa, Tulsa, Oklahoma, United States|Options Health Research, Tulsa, Oklahoma, United States|Allegheney Center for Digestive Health, Pittsburgh, Pennsylvania, United States|University of Pittsburgh, Pittsburgh, Pennsylvania, United States|Gastroenterology Center of the Midsouth, Germantown, Tennessee, United States|Nashville GI Specialists, Nashville, Tennessee, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States|Baylor University Medical Center, Dallas, Texas, United States|University of Texas Medical Branch, Galveston, Texas, United States|Memorial Hermann Hospital, Houston, Texas, United States|University of Vermont, Burlington, Vermont, United States|Digestive and Liver Disease Specialists, Norfolk, Virginia, United States|McGuire Research Institute, Richmond, Virginia, United States|Seattle Gastroenterology Associates, Seattle, Washington, United States|University of Calgary, Calgary, Alberta, Canada|University of Alberta Hospital, Edmonton, Alberta, Canada|Health Sciences Centre, Winnipeg, Manitoba, Canada|London Health Sciences Centre, London, Ontario, Canada|Mount Sinai Hospital, Toronto, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT00543374"
10,"NCT04548583","Study of Mesenchymal Stem Cells for the Treatment of Medically Refractory Crohn's Colitis",,"Recruiting","No Results Available","Crohn Colitis","Drug: Remestemcel-L|Other: Placebo","Treatment related adverse events|Complete clinical healing|Clinical response|Partial clinical response|Lack of response|Crohn's disease activity index|Inflammatory bowel disease questionnaire|EuroQol 5 Dimensions survey|Inflammatory bowel disease patient reported treatment impact survey|Short Form 36 health survey","The Cleveland Clinic|Mesoblast, Inc.","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 1|Phase 2","24","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","20-845","November 4, 2020","October 2023","October 2023","September 14, 2020",,"April 5, 2022","Cleveland Clinic, Cleveland, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT04548583"
