"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT04825730","Follow-up Study for Participants of Jointstem Investigator Initiated Trial by Arthroscopy",,"Not yet recruiting","No Results Available","Degenerative Arthritis|Knee Arthritis","Drug: JOINTSTEM","Adverse Events|Adverse Events (Special Attention Target)","R-Bio","All","20 Years and older   (Adult, Older Adult)","Not Applicable","14","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","BS-JS-IIT1-FU","December 1, 2023","December 1, 2028","December 31, 2029","April 1, 2021",,"September 28, 2022",,,"https://ClinicalTrials.gov/show/NCT04825730"
2,"NCT03509025","Follow-up Study for Participants Jointstem Clinical Trial",,"Completed","No Results Available","Knee Osteoarthritis","Drug: Jointstem","Adverse Events|WOMAC score|WOMAC 3 subscale score|X-ray","R-Bio","All","18 Years and older   (Adult, Older Adult)","Phase 2","11","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","JM2b-FU","February 8, 2017","December 9, 2020","December 9, 2020","April 26, 2018",,"September 28, 2022","KyungHee University Gangdong Hospital, Seoul, Korea, Republic of|GangNam Severance Hospital, Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT03509025"
3,"NCT04368806","A Phase 2b/3a Study to Evaluate the Efficacy and Safety of JointStem in Patients Diagnosed as Knee Osteoarthritis",,"Recruiting","No Results Available","Osteoarthritis, Knee","Drug: JointStem|Other: Placebo Control","Western Ontario and McMaster Universities Arthritis Index (WOMAC) function Score|Visual Analog Scale (VAS) score|Western Ontario and McMaster Universities Arthritis Index (WOMAC) subscale (Function)|Western Ontario and McMaster Universities Arthritis Index (WOMAC) subscale (Pain)|Total Western Ontario and McMaster Universities Arthritis Index (WOMAC) score|International Knee Documentation Committee (IKDC) score|36-Item Short Form health survey questionnaires (SF-36) score|Structural changes in knee joint|Kellgren-Lawrence grade|Number and amount of rescue medication use","Nature Cell Co. Ltd.","All","18 Years and older   (Adult, Older Adult)","Phase 2|Phase 3","140","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","JS-OAP3-US01","May 26, 2021","June 30, 2023","December 30, 2023","April 30, 2020",,"September 23, 2022","TriWest Research Associates, El Cajon, California, United States|BioSolutions Clinical Research Center, La Mesa, California, United States|Neurovations Research, Napa, California, United States|Source Healthcare, Santa Monica, California, United States|International Spine Pain, and Performance Center, Washington, District of Columbia, United States|Rothman Orthopaedic Institute, Egg Harbor Township, New Jersey, United States|Hospital for Special Surgery, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04368806"
4,"NCT02674399","A Phase 2 Study to Evaluate the Efficacy and Safety of JointStem in Treatment of Osteoarthritis",,"Completed","Has Results","Osteoarthritis, Knee","Drug: JointStem|Drug: Synvisc-One","Change From Baseline on Western Ontario and McMaster Universities Arthritis Index (WOMAC) Score in JointStem Group|Change From Baseline on Visual Analog Scale (VAS) in JointStem Group|MRI Improvement Evaluation in JointStem Group|Change From Baseline on WOMAC Between JointStem and Positive Control Groups|Change From Baseline on VAS Between JointStem and Positive Control Groups|Change From Baseline on Knee Injury & Osteoarthritis Outcome Score (KOOS) Between JointStem and Positive Control Groups|Change From Baseline on Lysholm Knee Scoring Scale Between JointStem and Positive Control Groups|Change From Baseline on International Knee Documentation Committee (IKDC) Between JointStem and Positive Control Groups|Change From Baseline on RAND-36 Score Between JointStem and Positive Control Groups|Change From Baseline on WOMAC in JointStem Group|Change From Baseline on VAS in JointStem Group|Comparison of MRI Improvement Evaluation in JointStem Group|Change of Lysholm Knee Scoring Scale From Baseline at Months 6, 9 and 12|Change of KOOS Score From Baseline at Month 6, 9 and 12 for JointStem Group|Change of IKDC Score From Baseline at Month 6, 9 and 12 for JointStem Group|Change of RAND-36 Score From Baseline at Month 6, 9 and 12 for JointStem Group","Nature Cell Co. Ltd.|KCRN Research, LLC","All","22 Years to 60 Years   (Adult)","Phase 2","28","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","JS-OAP2-US01","February 16, 2016","March 12, 2018","December 28, 2018","February 4, 2016","July 13, 2021","August 10, 2021","Orthopedic Pain Specialists, Santa Monica, California, United States|Walnut Creek, California, United States","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/99/NCT02674399/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/99/NCT02674399/SAP_001.pdf|""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/99/NCT02674399/ICF_002.pdf","https://ClinicalTrials.gov/show/NCT02674399"
5,"NCT03990805","A Phase 3 Study to Evaluate the Efficacy and Safety of JointStem in Treatment of Osteoarthritis",,"Completed","No Results Available","Degenerative Arthritis|Knee Osteoarthritis","Biological: JOINTSTEM|Drug: saline","Change of Western Ontario and McMaster Universities Osteoarthritis Index(WOMAC) scores from baseline|Change of Visual Analog Scale (VAS) scores from baseline|WOMAC 3 subscale score|VAS score|KOOS|SF-36|IKDC|Measuring of Kellgren-Lawrence grade|Measuring of Femoro-tibial anatomical angle(FTA)|Measuring of Hip-Knee-Ankle angle(HKA)|Measuring of Joint Space Width|MRI scan|Use of rescue medication","R-Bio","All","20 Years to 100 Years   (Adult, Older Adult)","Phase 3","260","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","BSR-CTph3-JS1","June 11, 2019","December 15, 2020","December 15, 2020","June 19, 2019",,"September 28, 2022","Chungbuk National University Hospital, Cheongju-si, Korea, Republic of|Yeungnam University Hospital, Daegu, Korea, Republic of|Keimyung University Dongsan Medical Center, Daegu, Korea, Republic of|Chonbuk National University Hospital, Jeonju, Korea, Republic of|Gyeongsang National University Hospital, Jinju-si, Korea, Republic of|Kyunghee University Medical Center, Seoul, Korea, Republic of|Seoul National University Hospital, Seoul, Korea, Republic of|Yonsei University Health System, Seoul, Korea, Republic of|KyungHee University Gangdong Hospital, Seoul, Korea, Republic of|Gangnam Severance Hospital, Seoul, Korea, Republic of|Samsung Medical Center, Seoul, Korea, Republic of|Seoul St. Mary's Hospital, Seoul, Korea, Republic of|Chunang University Hospital, Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT03990805"
6,"NCT04427930","Follow-up Study for Participants of Jointstem Phase 3 Clinical Trial",,"Active, not recruiting","No Results Available","Knee Osteoarthritis","Biological: JOINTSTEM","Adverse Events|Change of Western Ontario and McMaster Universities Osteoarthritis Index(WOMAC) scores from baseline|WOMAC 3 subscale score|SF-36|Measuring of Kellgren-Lawrence grade|Measuring of Femoro-tibial anatomical angle(FTA)|Measuring of Hip-Knee-Ankle angle(HKA)|Measuring of Joint Space Width|MRI scan","R-Bio","All","20 Years and older   (Adult, Older Adult)","Phase 3","129","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","BSR-CTph3-JS1_FU","April 13, 2020","December 23, 2026","December 30, 2027","June 11, 2020",,"September 28, 2022","Keimyung University Dongsan Medical Center, Daegu, Korea, Republic of|KyungHee University Gangdong Hospital, Seoul, Korea, Republic of|Gangnam Severance Hospital, Seoul, Korea, Republic of|The Catholic University of Korea, Seoul ST. Mary's Hospital, Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT04427930"
7,"NCT01300598","Autologous Adipose Tissue Derived Mesenchymal Stem Cells Transplantation in Patient With Degenerative Arthritis",,"Completed","No Results Available","Degenerative Arthritis","Procedure: Autologous Adipose Tissue derived MSCs Transplantation","Safety evaluation|WOMAC(Western Ontario and McMaster Universities) Index|Magnetic Resonance Imaging|KSCRS(Knee Society Clinical rating System)|VAS(11-point box visual analogue scale)|Histological evaluates","R-Bio","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 1|Phase 2","18","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Jointstem","December 2008","September 2011","March 2012","February 21, 2011",,"June 5, 2019","SMG-SNU Boramae Hospital, Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT01300598"
8,"NCT03000712","Investigator Initiated Trial to Evaluate the Efficacy and Safety of Intra-articular Injection of ADMSC Comared to Negative Control After High Tibial Osteotomy in the Osteoarthritis Patients.",,"Completed","No Results Available","Degenerative Arthritis|Knee Osteoarthritis","Biological: Autologous Adipose Tissue derived MSCs 1x10^8cells/3ml","MRI scan|WOMAC score|WOMAC sub-scale|Kellgren & Lawrence grade|EQ5D|ROM|KOOS (Knee Injury & Osteoarthritis Outcome Score)|PGIC(Patient Global Impression of Change)|PSQI(Pittsburgh Sleep Quality Index)|Biomarkers|Incidence of adverse reactions and characteristics associated with investigational product","R-Bio","All","20 Years to 80 Years   (Adult, Older Adult)","Not Applicable","26","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HTO-MSCs","November 2, 2016","May 22, 2020","May 22, 2020","December 22, 2016",,"January 29, 2021","KyungHee University Gangdong Hospital, Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT03000712"
9,"NCT04821102","Investigator Initiated Trial to Evaluate Cartilage Regeneration by Arthroscopy After JOINTSTEM Administration",,"Not yet recruiting","No Results Available","Degenerative Arthritis|Knee Arthritis","Biological: JOINTSTEM|Drug: Saline","Arthroscopy|WOMAC total score|WOMAC subscale score|VAS score|RAND-36|IKDC|Biopsy|Use of rescue medication|Kellgren-Lawrence grade","R-Bio","All","20 Years and older   (Adult, Older Adult)","Not Applicable","21","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","BS-JS-IIT1","July 1, 2023","August 1, 2024","December 31, 2024","March 29, 2021",,"September 28, 2022","Bethesda Hospital, Yangsan, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT04821102"
10,"NCT02658344","Clinical Trial to Evaluate Efficacy and Safety of JOINTSTEM in Patients With Degenerative Arthritis",,"Completed","No Results Available","Degenerative Arthritis|Knee Osteoarthritis","Biological: JOINTSTEM|Drug: Saline solution","WOMAC score|WOMAC 3 subscale|KOOS (Knee Injury & Osteoarthritis Outcome Score)|SF(Short Form)-36 Score|Global assessment of disease activity|Overall satisfaction|X-ray|MRI scan|Arthroscopy evaluation|Histological evaluation|VAS|IKDC|ROM|Quadriceps power|effusion|Crepitus|Ligament laxity|Medial joint line tenderness|Pes tenderness","R-Bio","All","18 Years and older   (Adult, Older Adult)","Phase 2","24","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","Jointstem2b","July 2015","November 2016","December 2016","January 18, 2016",,"June 5, 2019","KyungHee University Gangdong Hospital, Seoul, Korea, Republic of|GangNam Severance Hospital, Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT02658344"
